filing_year,area_name,area_number,eviction_filings_total,eviction_filings_rate,eviction_filings_sealed,eviction_filings_unclear,eviction_filings_completed,case_type_single_action,case_type_joint_action,back_rent_median,back_rent_0,back_rent_1_to_999,back_rent_1000_to_2499,back_rent_2500_to_4999,back_rent_5000_or_more,landlord_prose,landlord_represented,tenant_prose,tenant_represented,tenant_rep_pa,tenant_rep_laa,eviction_order_yes,eviction_order_no,eviction_order_yes_tenant_prose,eviction_order_no_tenant_prose,eviction_order_yes_tenant_represented,eviction_order_no_tenant_represented,eviction_order_yes_tenant_rep_pa,eviction_order_no_tenant_rep_pa,eviction_order_yes_tenant_rep_laa,eviction_order_no_tenant_rep_laa,ftu_eviction_order,ftu_other_outcome,ftu_no_outcome,ftu_eviction_order_tenant_prose,ftu_other_outcome_tenant_prose,ftu_no_outcome_tenant_prose,ftu_eviction_order_tenant_represented,ftu_other_outcome_tenant_represented,ftu_no_outcome_tenant_represented,default_eviction_order_yes,default_eviction_order_no,default_eviction_order_yes_tenant_prose,default_eviction_order_no_tenant_prose,default_eviction_order_yes_tenant_represented,default_eviction_order_no_tenant_represented
2010,Rogers Park,1,711,3.86,8,10,693,79,614,2198.0,76,76,293,192,56,87,606,627,66,51,15,447,246,414,213,33,33,31,20,2,13,284,69,340,281,67,279,3,2,61,108,585,107,520,1,65
2011,Rogers Park,1,761,4.08,5,9,747,83,664,2165.0,76,102,292,206,71,85,662,677,70,54,16,462,285,420,257,42,28,37,17,5,11,284,49,414,277,49,351,7,0,63,113,634,111,566,2,68
2012,Rogers Park,1,919,4.87,21,13,885,120,765,2057.0,114,110,394,188,79,83,802,800,85,64,21,554,331,514,286,40,45,34,30,6,15,345,91,449,342,90,368,3,1,81,193,692,184,616,9,76
2013,Rogers Park,1,866,4.53,24,12,830,128,702,2025.0,129,108,346,185,62,99,731,722,108,86,22,539,291,478,244,61,47,52,34,9,13,330,76,424,316,73,333,14,3,91,85,745,80,642,5,103
2014,Rogers Park,1,657,3.4,70,5,582,68,514,2055.0,69,80,245,145,43,40,542,524,58,48,10,330,252,312,212,18,40,17,31,1,9,203,70,309,202,69,253,1,1,56,49,533,48,476,1,57
2015,Rogers Park,1,664,3.4,66,5,593,125,468,2122.58,126,80,212,127,48,36,557,530,63,51,12,339,254,305,225,34,29,30,21,4,8,180,103,310,175,100,255,5,3,55,74,519,72,458,2,61
2016,Rogers Park,1,559,2.83,60,5,494,99,395,2124.65,98,47,196,106,47,38,456,434,60,54,6,291,203,257,177,34,26,32,22,2,4,173,106,215,165,106,163,8,0,52,72,422,67,367,5,55
2017,Rogers Park,1,481,2.41,42,2,437,90,347,2190.5,89,45,156,108,39,22,415,372,65,52,13,235,202,209,163,26,39,22,30,4,9,133,87,217,129,86,157,4,1,60,52,385,50,322,2,63
2018,Rogers Park,1,479,2.37,37,3,439,77,362,2379.67,77,48,144,121,49,11,428,377,62,50,12,211,228,179,198,32,30,26,24,6,6,96,120,223,95,116,166,1,4,57,56,383,52,325,4,58
2019,Rogers Park,1,450,2.2,36,7,407,55,352,2458.34,57,30,149,145,26,8,399,363,44,34,10,198,209,179,184,19,25,16,18,3,7,98,82,227,96,82,185,2,0,42,88,319,83,280,5,39
2010,West Ridge,2,493,3.95,38,3,452,74,378,2597.4,73,41,141,129,68,72,380,403,49,45,4,297,155,268,135,29,20,27,18,2,2,194,34,224,187,34,182,7,0,42,80,372,77,326,3,46
2011,West Ridge,2,485,3.78,29,7,449,56,393,2900.0,53,37,125,142,92,56,393,407,42,35,7,291,158,271,136,20,22,20,15,0,7,170,44,235,166,43,198,4,1,37,92,357,90,317,2,40
2012,West Ridge,2,505,3.84,37,4,464,53,411,2580.91,53,29,162,148,72,67,397,411,53,47,6,289,175,261,150,28,25,26,21,2,4,150,45,269,147,45,219,3,0,50,97,367,92,319,5,48
2013,West Ridge,2,481,3.56,25,4,452,81,371,2434.0,80,23,170,133,46,63,389,395,57,50,7,261,191,223,172,38,19,35,15,3,4,160,57,235,152,56,187,8,1,48,43,409,40,355,3,54
2014,West Ridge,2,462,3.34,66,3,393,61,332,2625.0,62,29,128,121,53,55,338,344,49,44,5,241,152,218,126,23,26,21,23,2,3,130,48,215,129,48,167,1,0,48,37,356,36,308,1,48
2015,West Ridge,2,420,2.96,68,1,351,80,271,2649.5,79,21,106,102,43,42,309,295,56,49,7,186,165,161,134,25,31,21,28,4,3,91,54,206,89,52,154,2,2,52,42,309,42,253,0,56
2016,West Ridge,2,377,2.6,74,4,299,55,244,2672.04,55,18,92,86,48,29,270,254,45,42,3,179,120,153,101,26,19,26,16,0,3,95,50,154,91,50,113,4,0,41,43,256,40,214,3,42
2017,West Ridge,2,369,2.48,48,2,319,80,239,2875.6,81,25,73,90,50,34,285,273,46,45,1,172,147,156,117,16,30,15,30,1,0,96,68,155,95,65,113,1,3,42,34,285,34,239,0,46
2018,West Ridge,2,298,1.96,35,1,262,44,218,3000.0,47,6,76,80,53,32,230,224,38,35,3,139,123,120,104,19,19,18,17,1,2,61,51,150,61,51,112,0,0,38,47,215,45,179,2,36
2019,West Ridge,2,255,1.64,43,10,202,24,178,2675.0,24,7,72,67,32,31,171,178,24,23,1,111,91,98,80,13,11,13,10,0,1,56,52,94,53,52,73,3,0,21,49,153,48,130,1,23
2010,Uptown,3,539,2.46,3,1,535,64,471,1880.0,64,133,169,124,45,25,510,480,55,31,24,326,209,304,176,22,33,19,12,3,21,208,61,266,207,59,214,1,2,52,82,453,80,400,2,53
2011,Uptown,3,558,2.54,3,4,551,65,486,2092.64,59,87,204,139,62,26,525,484,67,49,18,312,239,289,195,23,44,20,29,3,15,182,58,311,179,53,252,3,5,59,88,463,84,400,4,63
2012,Uptown,3,621,2.82,6,6,609,140,469,1759.55,138,98,222,107,44,19,590,535,74,43,31,334,275,302,233,32,42,23,20,9,22,199,83,327,194,82,259,5,1,68,99,510,96,439,3,71
2013,Uptown,3,565,2.56,11,5,549,93,456,1580.5,93,102,248,76,30,13,536,501,48,26,22,302,247,286,215,16,32,12,14,4,18,183,88,278,182,85,234,1,3,44,48,501,47,454,1,47
2014,Uptown,3,442,2.0,23,4,415,69,346,1727.5,68,76,169,76,26,16,399,375,40,21,19,224,191,211,164,13,27,10,11,3,16,135,68,212,134,67,174,1,1,38,37,378,35,340,2,38
2015,Uptown,3,456,2.06,32,5,419,111,308,1940.0,111,59,134,80,35,12,407,373,46,41,5,224,195,206,167,18,28,17,24,1,4,148,81,190,146,76,151,2,5,39,44,375,44,329,0,46
2016,Uptown,3,413,1.87,35,1,377,115,262,1952.0,116,59,95,77,30,12,365,333,44,26,18,198,179,177,156,21,23,16,10,5,13,112,82,183,109,81,143,3,1,40,41,336,39,294,2,42
2017,Uptown,3,380,1.71,28,3,349,77,272,2000.0,77,53,111,73,35,8,341,310,39,28,11,189,160,174,136,15,24,14,14,1,10,114,60,175,113,59,138,1,1,37,42,307,41,269,1,38
2018,Uptown,3,339,1.53,24,2,313,70,243,2229.5,73,33,103,66,38,8,305,279,34,26,8,162,151,147,132,15,19,13,13,2,6,90,69,154,89,69,121,1,0,33,53,260,53,226,0,34
2019,Uptown,3,342,1.54,18,6,318,37,281,2116.0,37,33,129,91,28,2,316,290,28,15,13,150,168,140,150,10,18,4,11,6,7,82,90,146,81,87,122,1,3,24,65,253,62,228,3,25
2010,Lincoln Square,4,170,1.51,10,2,158,25,133,2350.0,25,19,56,45,13,16,142,143,15,12,3,91,67,85,58,6,9,5,7,1,2,53,15,90,53,15,75,0,0,15,28,130,28,115,0,15
2011,Lincoln Square,4,183,1.61,9,1,173,32,141,2310.0,32,11,71,38,21,34,139,159,14,13,1,94,79,84,75,10,4,10,3,0,1,53,16,104,52,16,91,1,0,13,22,151,22,137,0,14
2012,Lincoln Square,4,153,1.34,5,2,146,17,129,2235.63,16,11,60,42,17,17,129,130,16,16,0,90,56,79,51,11,5,11,5,0,0,54,11,81,52,11,67,2,0,14,30,116,27,103,3,13
2013,Lincoln Square,4,142,1.23,9,1,132,19,113,2620.0,17,9,42,41,23,27,105,112,20,16,4,78,54,69,43,9,11,8,8,1,3,42,20,70,41,20,51,1,0,19,8,124,8,104,0,20
2014,Lincoln Square,4,146,1.26,21,1,124,23,101,2077.03,22,16,48,27,11,12,112,106,18,16,2,70,54,64,42,6,12,5,11,1,1,45,12,67,43,12,51,2,0,16,11,113,9,97,2,16
2015,Lincoln Square,4,124,1.06,16,1,107,26,81,2583.0,27,6,32,30,12,6,101,91,16,14,2,53,54,47,44,6,10,5,9,1,1,28,19,60,28,19,44,0,0,16,12,95,11,80,1,15
2016,Lincoln Square,4,92,0.78,11,1,80,17,63,2470.0,16,6,26,22,10,5,75,70,10,9,1,46,34,39,31,7,3,7,2,0,1,24,17,39,23,17,30,1,0,9,8,72,7,63,1,9
2017,Lincoln Square,4,100,0.85,22,0,78,17,61,2700.0,17,5,24,25,7,4,74,69,9,6,3,38,40,37,32,1,8,1,5,0,3,23,15,40,23,15,31,0,0,9,12,66,12,57,0,9
2018,Lincoln Square,4,97,0.82,9,3,85,28,57,2900.0,26,2,20,27,10,5,80,79,6,6,0,40,45,38,41,2,4,2,4,0,0,27,20,38,26,20,33,1,0,5,12,73,12,67,0,6
2019,Lincoln Square,4,85,0.71,10,1,74,22,52,2717.18,22,1,20,24,7,5,69,63,11,11,0,38,36,31,32,7,4,7,4,0,0,17,16,41,17,16,30,0,0,11,20,54,19,44,1,10
2010,North Center,5,64,0.87,2,1,61,13,48,2255.0,13,9,18,14,7,8,53,52,9,7,2,37,24,32,20,5,4,5,2,0,2,22,6,33,21,6,25,1,0,8,8,53,8,44,0,9
2011,North Center,5,65,0.89,2,2,61,9,52,3046.5,9,4,17,19,12,16,45,52,9,8,1,28,33,24,28,4,5,4,4,0,1,10,5,46,9,5,38,1,0,8,5,56,5,47,0,9
2012,North Center,5,39,0.55,2,1,36,7,29,2250.0,7,3,13,5,8,4,32,34,2,2,0,21,15,19,15,2,0,2,0,0,0,13,5,18,13,5,16,0,0,2,8,28,8,26,0,2
2013,North Center,5,39,0.56,6,0,33,9,24,2849.7,9,2,9,5,8,3,30,26,7,6,1,13,20,9,17,4,3,4,2,0,1,5,6,22,4,6,16,1,0,6,1,32,1,25,0,7
2014,North Center,5,48,0.69,7,0,41,8,33,3492.5,7,0,13,11,10,4,37,33,8,8,0,30,11,23,10,7,1,7,1,0,0,11,2,28,11,2,20,0,0,8,6,35,5,28,1,7
2015,North Center,5,42,0.62,5,0,37,13,24,2150.0,13,1,12,5,6,2,35,33,4,4,0,13,24,11,22,2,2,2,2,0,0,7,9,21,7,9,17,0,0,4,2,35,1,32,1,3
2016,North Center,5,47,0.7,8,0,39,7,32,2700.0,7,4,9,12,7,2,37,34,5,5,0,13,26,10,24,3,2,3,2,0,0,7,11,21,7,11,16,0,0,5,2,37,1,33,1,4
2017,North Center,5,34,0.52,10,0,24,2,22,3196.36,2,1,7,10,4,2,22,21,3,3,0,15,9,14,7,1,2,1,2,0,0,7,3,14,7,3,11,0,0,3,1,23,1,20,0,3
2018,North Center,5,23,0.36,1,1,21,6,15,3287.56,6,1,2,6,6,2,19,19,2,2,0,15,6,13,6,2,0,2,0,0,0,4,4,13,4,4,11,0,0,2,3,18,3,16,0,2
2019,North Center,5,38,0.6,3,0,35,7,28,3887.29,6,2,5,10,12,2,33,30,5,5,0,21,14,18,12,3,2,3,2,0,0,7,8,20,7,8,15,0,0,5,8,27,8,22,0,5
2010,Lake View,6,571,1.62,6,8,557,46,511,1900.0,45,95,219,140,58,20,537,501,56,49,7,285,272,259,242,26,30,25,24,1,6,171,90,296,166,88,247,5,2,49,94,463,92,409,2,54
2011,Lake View,6,472,1.34,8,9,455,33,422,2124.0,32,59,188,116,60,27,428,409,46,38,8,244,211,218,191,26,20,22,16,4,4,138,56,261,135,56,218,3,0,43,78,377,73,336,5,41
2012,Lake View,6,429,1.22,13,4,412,37,375,2185.0,37,38,180,100,57,22,390,378,34,24,10,221,191,207,171,14,20,10,14,4,6,136,62,214,133,61,184,3,1,30,101,311,98,280,3,31
2013,Lake View,6,439,1.26,15,3,421,63,358,2091.05,59,76,130,92,64,11,410,369,52,37,15,225,196,206,163,19,33,18,19,1,14,141,59,221,139,58,172,2,1,49,52,369,50,319,2,50
2014,Lake View,6,313,0.9,14,3,296,30,266,2400.0,29,27,110,90,40,18,278,268,28,22,6,142,154,133,135,9,19,9,13,0,6,91,61,144,87,59,122,4,2,22,25,271,23,245,2,26
2015,Lake View,6,293,0.84,23,1,269,38,231,2868.14,37,15,89,70,58,1,268,236,33,27,6,142,127,130,106,12,21,11,16,1,5,70,43,156,69,42,125,1,1,31,31,238,31,205,0,33
2016,Lake View,6,248,0.71,21,2,225,22,203,2864.0,22,11,61,89,42,7,218,197,28,27,1,119,106,104,93,15,13,15,12,0,1,73,49,103,73,48,76,0,1,27,39,186,36,161,3,25
2017,Lake View,6,262,0.75,17,3,242,28,214,3326.03,28,8,60,80,66,4,238,209,33,29,4,133,109,113,96,20,13,19,10,1,3,66,41,135,66,41,102,0,0,33,45,197,45,164,0,33
2018,Lake View,6,232,0.67,10,0,222,14,208,3217.26,18,18,61,76,49,2,220,199,23,20,3,112,110,104,95,8,15,8,12,0,3,48,55,119,48,55,96,0,0,23,39,183,39,160,0,23
2019,Lake View,6,259,0.75,16,13,230,20,210,2995.68,20,22,55,87,46,4,226,202,28,21,7,113,117,99,103,14,14,9,12,5,2,41,59,130,40,58,104,1,1,26,47,183,45,157,2,26
2010,Lincoln Park,7,256,1.41,6,2,248,33,215,2416.25,31,20,91,61,45,14,234,214,34,22,12,114,134,104,110,10,24,10,12,0,12,65,38,145,62,37,115,3,1,30,41,207,39,175,2,32
2011,Lincoln Park,7,295,1.62,3,6,286,39,247,2749.38,36,21,93,78,58,28,258,245,41,32,9,133,153,117,128,16,25,13,19,3,6,69,34,183,68,33,144,1,1,39,46,240,44,201,2,39
2012,Lincoln Park,7,240,1.31,3,4,233,43,190,2523.75,43,32,62,67,29,17,216,201,32,23,9,103,130,89,112,14,18,14,9,0,9,56,38,139,56,38,107,0,0,32,32,201,32,169,0,32
2013,Lincoln Park,7,174,0.95,4,2,168,21,147,2750.0,21,17,52,38,40,6,162,144,24,18,6,73,95,63,81,10,14,9,9,1,5,41,23,104,41,22,81,0,1,23,11,157,11,133,0,24
2014,Lincoln Park,7,155,0.84,6,4,145,20,125,2486.76,20,20,43,36,26,4,141,130,15,12,3,65,80,58,72,7,8,6,6,1,2,29,22,94,28,22,80,1,0,14,12,133,12,118,0,15
2015,Lincoln Park,7,136,0.74,15,1,120,11,109,3050.0,11,14,31,36,28,4,116,99,21,21,0,59,61,46,53,13,8,13,8,0,0,31,25,64,29,24,46,2,1,18,7,113,6,93,1,20
2016,Lincoln Park,7,153,0.83,21,2,130,27,103,2553.87,27,15,34,27,27,4,126,106,24,18,6,62,68,56,50,6,18,5,13,1,5,36,30,64,36,30,40,0,0,24,13,117,13,93,0,24
2017,Lincoln Park,7,110,0.59,8,3,99,20,79,3214.94,20,5,27,26,21,0,99,78,21,15,6,49,50,40,38,9,12,7,8,2,4,28,19,52,26,18,34,2,1,18,11,88,9,69,2,19
2018,Lincoln Park,7,129,0.69,12,2,115,14,101,3234.0,14,13,29,30,29,4,111,103,12,11,1,59,56,53,50,6,6,5,6,1,0,33,22,60,32,22,49,1,0,11,22,93,21,82,1,11
2019,Lincoln Park,7,87,0.47,7,4,76,8,68,3331.0,9,3,22,26,16,0,76,67,9,5,4,37,39,36,31,1,8,1,4,0,4,14,13,49,14,13,40,0,0,9,16,60,16,51,0,9
2010,Near North Side,8,1058,3.85,13,8,1037,121,916,2608.28,114,121,318,282,202,23,1014,919,118,82,36,514,523,467,452,47,71,40,42,7,29,276,159,602,269,154,496,7,5,106,197,840,191,728,6,112
2011,Near North Side,8,907,3.19,10,16,881,116,765,2659.75,113,122,237,245,164,25,856,760,121,84,37,465,416,418,342,47,74,43,41,4,33,267,115,499,262,113,385,5,2,114,161,720,150,610,11,110
2012,Near North Side,8,696,2.38,17,8,671,94,577,2601.75,94,91,189,181,116,21,650,578,93,66,27,351,320,317,261,34,59,32,34,2,25,209,112,350,206,107,265,3,5,85,142,529,134,444,8,85
2013,Near North Side,8,700,2.32,17,7,676,81,595,2351.74,76,120,195,147,138,17,659,589,87,67,20,372,304,332,257,40,47,35,32,5,15,231,116,329,222,116,251,9,0,78,58,618,53,536,5,82
2014,Near North Side,8,574,1.85,24,6,544,57,487,2710.82,57,85,146,141,115,8,536,473,71,59,12,269,275,240,233,29,42,28,31,1,11,170,112,262,163,112,198,7,0,64,51,493,48,425,3,68
2015,Near North Side,8,615,1.92,33,8,574,78,496,2926.54,77,92,118,149,138,11,563,493,81,65,16,284,290,249,244,35,46,31,34,4,12,163,135,276,157,134,202,6,1,74,77,497,73,420,4,77
2016,Near North Side,8,538,1.63,44,4,490,50,440,2743.8,50,73,126,131,110,7,483,430,60,53,7,230,260,204,226,26,34,25,28,1,6,127,132,231,124,132,174,3,0,57,67,423,63,367,4,56
2017,Near North Side,8,553,1.64,28,4,521,83,438,3675.0,82,32,101,157,149,10,511,451,70,65,5,234,287,197,254,37,33,36,29,1,4,129,146,246,123,144,184,6,2,62,75,446,70,381,5,65
2018,Near North Side,8,573,1.65,29,6,538,67,471,3744.55,67,45,113,157,156,10,528,467,71,56,15,265,273,222,245,43,28,40,16,3,12,138,126,274,132,126,209,6,0,65,95,443,91,376,4,67
2019,Near North Side,8,523,1.47,39,15,469,59,410,3629.09,59,36,102,130,142,3,466,414,55,47,8,227,242,198,216,29,26,27,20,2,6,112,116,241,108,115,191,4,1,50,108,361,104,310,4,51
2010,Edison Park,9,18,1.98,1,0,17,5,12,2499.0,5,1,5,3,3,2,15,15,2,2,0,5,12,5,10,0,2,0,2,0,0,4,4,9,4,4,7,0,0,2,1,16,1,14,0,2
2011,Edison Park,9,16,1.73,1,1,14,0,14,2432.22,0,3,5,1,5,2,12,12,2,2,0,10,4,8,4,2,0,2,0,0,0,8,1,5,7,1,4,1,0,1,3,11,3,9,0,2
2012,Edison Park,9,24,2.56,0,0,24,2,22,3349.93,2,1,7,8,6,2,22,23,1,1,0,19,5,18,5,1,0,1,0,0,0,9,3,12,9,3,11,0,0,1,8,16,8,15,0,1
2013,Edison Park,9,18,1.89,4,0,14,0,14,1952.91,0,1,9,4,0,2,12,12,2,2,0,8,6,8,4,0,2,0,2,0,0,5,1,8,5,1,6,0,0,2,2,12,2,10,0,2
2014,Edison Park,9,9,0.93,1,1,7,0,7,2100.0,0,0,5,1,1,1,6,7,0,0,0,6,1,6,1,0,0,0,0,0,0,2,1,4,2,1,4,0,0,0,1,6,1,6,0,0
2015,Edison Park,9,12,1.23,4,0,8,1,7,2925.0,1,1,2,3,1,0,8,7,1,1,0,5,3,5,2,0,1,0,1,0,0,3,1,4,3,1,3,0,0,1,1,7,1,6,0,1
2016,Edison Park,9,8,0.81,1,0,7,2,5,2543.21,2,0,2,2,1,0,7,4,3,3,0,2,5,0,4,2,1,2,1,0,0,0,3,4,0,3,1,0,0,3,0,7,0,4,0,3
2017,Edison Park,9,14,1.39,3,0,11,1,10,3101.25,1,0,2,6,2,1,10,11,0,0,0,7,4,7,4,0,0,0,0,0,0,5,1,5,5,1,5,0,0,0,4,7,4,7,0,0
2018,Edison Park,9,8,0.79,0,0,8,2,6,4331.0,2,0,1,3,2,2,6,5,3,3,0,6,2,4,1,2,1,2,1,0,0,3,0,5,3,0,2,0,0,3,1,7,1,4,0,3
2019,Edison Park,9,13,1.26,2,0,11,2,9,2803.5,3,0,2,5,1,1,10,10,1,1,0,6,5,6,4,0,1,0,1,0,0,2,0,9,2,0,8,0,0,1,1,10,1,9,0,1
2010,Norwood Park,10,64,1.84,3,0,61,5,56,2487.08,4,7,22,16,12,12,49,54,7,7,0,44,17,42,12,2,5,2,5,0,0,25,3,33,25,3,26,0,0,7,11,50,11,43,0,7
2011,Norwood Park,10,63,1.81,1,1,61,14,47,2275.8,14,6,21,17,3,12,49,52,9,8,1,37,24,33,19,4,5,4,4,0,1,21,6,34,20,6,26,1,0,8,10,51,10,42,0,9
2012,Norwood Park,10,70,2.01,5,0,65,17,48,2182.5,17,11,16,13,8,10,55,55,10,9,1,40,25,34,21,6,4,6,3,0,1,20,3,42,20,3,32,0,0,10,11,54,8,47,3,7
2013,Norwood Park,10,63,1.8,10,0,53,12,41,3002.0,12,4,12,15,10,5,48,47,6,5,1,37,16,33,14,4,2,3,2,1,0,14,5,34,13,5,29,1,0,5,13,40,12,35,1,5
2014,Norwood Park,10,61,1.74,9,0,52,10,42,2375.4,10,5,17,7,13,6,46,44,8,7,1,39,13,35,9,4,4,3,4,1,0,25,3,24,23,3,18,2,0,6,2,50,2,42,0,8
2015,Norwood Park,10,48,1.36,6,0,42,4,38,2379.5,4,5,17,10,6,7,35,39,3,3,0,28,14,26,13,2,1,2,1,0,0,16,6,20,16,6,17,0,0,3,6,36,6,33,0,3
2016,Norwood Park,10,51,1.45,9,0,42,9,33,2200.0,9,5,12,11,5,6,36,37,5,4,1,28,14,26,11,2,3,2,2,0,1,17,4,21,16,4,17,1,0,4,5,37,5,32,0,5
2017,Norwood Park,10,47,1.33,2,0,45,12,33,3321.53,12,4,7,10,12,4,41,32,13,13,0,27,18,19,13,8,5,8,5,0,0,12,5,28,12,5,15,0,0,13,5,40,5,27,0,13
2018,Norwood Park,10,36,1.02,4,0,32,5,27,3000.0,5,1,8,15,3,6,26,25,7,6,1,16,16,13,12,3,4,2,4,1,0,6,4,22,5,4,16,1,0,6,4,28,3,22,1,6
2019,Norwood Park,10,29,0.82,4,2,23,8,15,3933.02,8,4,3,1,7,4,19,20,3,3,0,14,9,13,7,1,2,1,2,0,0,6,3,14,6,3,11,0,0,3,7,16,7,13,0,3
2010,Jefferson Park,11,68,2.18,6,0,62,7,55,2500.0,7,5,22,22,6,21,41,58,4,4,0,41,21,39,19,2,2,2,2,0,0,27,6,29,26,6,26,1,0,3,14,48,14,44,0,4
2011,Jefferson Park,11,78,2.42,6,1,71,13,58,2332.5,13,11,21,16,10,15,56,62,9,8,1,43,28,39,23,4,5,4,4,0,1,24,2,45,24,2,36,0,0,9,10,61,10,52,0,9
2012,Jefferson Park,11,75,2.26,4,0,71,20,51,1875.0,20,10,24,11,6,17,54,59,12,12,0,50,21,44,15,6,6,6,6,0,0,23,2,46,23,2,34,0,0,12,17,54,16,43,1,11
2013,Jefferson Park,11,81,2.38,8,0,73,18,55,1800.0,19,11,26,9,8,15,58,61,12,11,1,41,32,33,28,8,4,8,3,0,1,20,6,47,20,6,35,0,0,12,10,63,10,51,0,12
2014,Jefferson Park,11,78,2.23,10,2,66,18,48,2272.5,18,9,22,10,7,14,52,55,11,11,0,39,27,33,22,6,5,6,5,0,0,29,6,31,28,6,21,1,0,10,3,63,3,52,0,11
2015,Jefferson Park,11,56,1.56,13,0,43,10,33,1800.0,10,0,21,9,3,9,34,38,5,5,0,28,15,24,14,4,1,4,1,0,0,13,3,27,13,3,22,0,0,5,3,40,3,35,0,5
2016,Jefferson Park,11,66,1.79,12,0,54,10,44,2762.41,10,1,16,13,14,6,48,44,10,9,1,37,17,32,12,5,5,5,4,0,1,22,8,24,22,7,15,0,1,9,8,46,7,37,1,9
2017,Jefferson Park,11,47,1.24,12,0,35,5,30,2690.0,5,3,11,10,6,5,30,26,9,9,0,19,16,16,10,3,6,3,6,0,0,8,5,22,8,4,14,0,1,8,3,32,3,23,0,9
2018,Jefferson Park,11,47,1.21,8,0,39,10,29,2941.6,10,2,12,8,7,9,30,34,5,5,0,26,13,25,9,1,4,1,4,0,0,16,4,19,16,4,14,0,0,5,7,32,7,27,0,5
2019,Jefferson Park,11,37,0.93,3,0,34,6,28,2844.99,6,1,10,12,5,4,30,28,6,6,0,21,13,18,10,3,3,3,3,0,0,7,6,21,6,6,16,1,0,5,7,27,7,21,0,6
2010,Forest Glen,12,27,2.76,1,0,26,7,19,2200.0,7,3,8,6,2,3,23,24,2,2,0,19,7,17,7,2,0,2,0,0,0,11,0,15,11,0,13,0,0,2,1,25,1,23,0,2
2011,Forest Glen,12,35,3.67,3,1,31,7,24,3322.75,7,2,6,7,9,4,27,21,10,10,0,15,16,12,9,3,7,3,7,0,0,6,3,22,6,2,13,0,1,9,2,29,2,19,0,10
2012,Forest Glen,12,31,3.33,2,0,29,10,19,3264.93,11,2,6,4,6,4,25,24,5,5,0,19,10,14,10,5,0,5,0,0,0,9,2,18,9,2,13,0,0,5,4,25,2,22,2,3
2013,Forest Glen,12,24,2.64,2,1,21,6,15,2732.5,7,2,4,5,3,4,17,18,3,3,0,12,9,12,6,0,3,0,3,0,0,9,3,9,9,3,6,0,0,3,2,19,2,16,0,3
2014,Forest Glen,12,27,3.05,9,0,18,6,12,1775.66,6,2,6,3,1,4,14,15,3,3,0,10,8,8,7,2,1,2,1,0,0,3,2,13,2,2,11,1,0,2,3,15,2,13,1,2
2015,Forest Glen,12,24,2.79,6,0,18,4,14,2562.5,4,1,6,4,3,2,16,15,3,3,0,8,10,8,7,0,3,0,3,0,0,7,3,8,7,3,5,0,0,3,3,15,3,12,0,3
2016,Forest Glen,12,14,1.67,2,0,12,4,8,3130.0,4,1,2,3,2,0,12,10,2,2,0,6,6,5,5,1,1,1,1,0,0,5,2,5,5,2,3,0,0,2,0,12,0,10,0,2
2017,Forest Glen,12,18,2.21,2,0,16,3,13,1950.0,3,1,9,0,3,2,14,13,3,3,0,7,9,7,6,0,3,0,3,0,0,5,3,8,5,3,5,0,0,3,2,14,2,11,0,3
2018,Forest Glen,12,20,2.53,6,0,14,6,8,4425.0,6,0,3,1,4,1,13,11,3,3,0,8,6,6,5,2,1,2,1,0,0,1,4,9,1,4,6,0,0,3,2,12,2,9,0,3
2019,Forest Glen,12,18,2.34,5,0,13,1,12,2450.0,1,1,5,2,4,0,13,10,3,2,1,11,2,8,2,3,0,2,0,1,0,6,1,6,6,1,3,0,0,3,3,10,2,8,1,2
2010,North Park,13,55,1.86,7,0,48,15,33,3500.0,15,1,9,15,8,10,38,42,6,6,0,25,23,23,19,2,4,2,4,0,0,14,3,31,14,3,25,0,0,6,5,43,5,37,0,6
2011,North Park,13,42,1.39,3,0,39,9,30,1940.0,9,5,14,6,5,6,33,34,5,2,3,23,16,21,13,2,3,1,1,1,2,9,4,26,9,4,21,0,0,5,6,33,6,28,0,5
2012,North Park,13,58,1.87,6,1,51,7,44,2200.0,7,5,19,14,6,14,37,43,8,5,3,33,18,29,14,4,4,3,2,1,2,17,3,31,17,3,23,0,0,8,12,39,12,31,0,8
2013,North Park,13,58,1.83,7,0,51,16,35,2567.47,16,4,13,13,5,12,39,47,4,3,1,29,22,29,18,0,4,0,3,0,1,19,2,30,19,2,26,0,0,4,4,47,4,43,0,4
2014,North Park,13,39,1.21,7,1,31,6,25,2600.0,6,5,6,13,1,6,25,27,4,3,1,23,8,19,8,4,0,3,0,1,0,10,4,17,10,4,13,0,0,4,5,26,5,22,0,4
2015,North Park,13,57,1.73,10,0,47,9,38,3200.0,9,1,12,12,13,3,44,40,7,7,0,27,20,22,18,5,2,5,2,0,0,15,5,27,14,5,21,1,0,6,6,41,5,35,1,6
2016,North Park,13,39,1.16,11,0,28,14,14,2300.0,14,1,8,2,3,5,23,26,2,2,0,15,13,14,12,1,1,1,1,0,0,9,5,14,8,5,13,1,0,1,4,24,4,22,0,2
2017,North Park,13,50,1.46,6,2,42,6,36,2250.0,6,2,20,10,4,4,38,36,6,6,0,26,16,23,13,3,3,3,3,0,0,17,6,19,16,6,14,1,0,5,8,34,8,28,0,6
