NAME,B08119_002E,B08119_003E,B08119_004E,B08119_005E,B08119_006E,B08119_007E,B08119_008E,B08119_009E,state,county,tract
"Census Tract 2311, Cook County, Illinois",50.0,13.0,85.0,88.0,63.0,54.0,12.0,0.0,17,031,231100
"Census Tract 2312, Cook County, Illinois",264.0,148.0,502.0,336.0,270.0,95.0,0.0,104.0,17,031,231200
"Census Tract 2313, Cook County, Illinois",366.0,157.0,510.0,245.0,234.0,248.0,44.0,73.0,17,031,231300
"Census Tract 2314, Cook County, Illinois",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,031,231400
"Census Tract 2315, Cook County, Illinois",281.0,118.0,507.0,251.0,101.0,35.0,0.0,108.0,17,031,231500
"Census Tract 2316, Cook County, Illinois",0.0,0.0,58.0,53.0,62.0,6.0,0.0,0.0,17,031,231600
"Census Tract 2317, Cook County, Illinois",12.0,15.0,45.0,100.0,87.0,39.0,0.0,51.0,17,031,231700
"Census Tract 2318, Cook County, Illinois",0.0,13.0,80.0,63.0,59.0,20.0,0.0,38.0,17,031,231800
"Census Tract 2401, Cook County, Illinois",0.0,0.0,20.0,0.0,72.0,0.0,0.0,11.0,17,031,240100
"Census Tract 2402, Cook County, Illinois",33.0,32.0,119.0,81.0,190.0,130.0,115.0,305.0,17,031,240200
"Census Tract 2403, Cook County, Illinois",42.0,13.0,10.0,73.0,68.0,186.0,96.0,382.0,17,031,240300
"Census Tract 2404, Cook County, Illinois",0.0,31.0,14.0,27.0,63.0,114.0,84.0,356.0,17,031,240400
"Census Tract 2405, Cook County, Illinois",139.0,65.0,96.0,173.0,193.0,347.0,83.0,614.0,17,031,240500
"Census Tract 2406, Cook County, Illinois",103.0,39.0,76.0,39.0,80.0,92.0,73.0,260.0,17,031,240600
"Census Tract 2407, Cook County, Illinois",52.0,205.0,130.0,97.0,172.0,40.0,0.0,123.0,17,031,240700
"Census Tract 2408, Cook County, Illinois",110.0,102.0,168.0,125.0,167.0,19.0,69.0,40.0,17,031,240800
"Census Tract 2409, Cook County, Illinois",111.0,9.0,89.0,127.0,106.0,58.0,45.0,18.0,17,031,240900
"Census Tract 2410, Cook County, Illinois",113.0,109.0,234.0,121.0,152.0,38.0,74.0,67.0,17,031,241000
"Census Tract 2411, Cook County, Illinois",117.0,162.0,331.0,506.0,254.0,349.0,93.0,228.0,17,031,241100
"Census Tract 2412, Cook County, Illinois",186.0,61.0,68.0,189.0,198.0,170.0,74.0,191.0,17,031,241200
"Census Tract 2413, Cook County, Illinois",87.0,9.0,49.0,130.0,177.0,103.0,75.0,321.0,17,031,241300
"Census Tract 2414, Cook County, Illinois",342.0,28.0,494.0,340.0,420.0,318.0,173.0,945.0,17,031,241400
"Census Tract 2415, Cook County, Illinois",197.0,105.0,205.0,183.0,335.0,328.0,31.0,657.0,17,031,241500
"Census Tract 2416, Cook County, Illinois",311.0,204.0,294.0,416.0,423.0,330.0,105.0,536.0,17,031,241600
"Census Tract 2417, Cook County, Illinois",10.0,10.0,10.0,0.0,9.0,22.0,0.0,53.0,17,031,241700
"Census Tract 2418, Cook County, Illinois",49.0,11.0,30.0,22.0,221.0,56.0,0.0,196.0,17,031,241800
"Census Tract 2419, Cook County, Illinois",49.0,5.0,123.0,72.0,120.0,100.0,71.0,87.0,17,031,241900
"Census Tract 2420, Cook County, Illinois",149.0,203.0,501.0,383.0,550.0,257.0,168.0,422.0,17,031,242000
"Census Tract 2421, Cook County, Illinois",47.0,81.0,260.0,122.0,324.0,520.0,144.0,709.0,17,031,242100
"Census Tract 2422, Cook County, Illinois",264.0,75.0,440.0,384.0,572.0,239.0,110.0,712.0,17,031,242200
"Census Tract 2423, Cook County, Illinois",161.0,55.0,296.0,428.0,606.0,285.0,207.0,471.0,17,031,242300
"Census Tract 2424, Cook County, Illinois",75.0,73.0,174.0,415.0,481.0,256.0,141.0,237.0,17,031,242400
"Census Tract 2425, Cook County, Illinois",360.0,270.0,359.0,405.0,530.0,146.0,30.0,212.0,17,031,242500
"Census Tract 2426, Cook County, Illinois",209.0,126.0,274.0,345.0,644.0,256.0,179.0,356.0,17,031,242600
"Census Tract 2427, Cook County, Illinois",65.0,117.0,121.0,118.0,160.0,97.0,12.0,72.0,17,031,242700
"Census Tract 2428, Cook County, Illinois",80.0,139.0,153.0,60.0,119.0,95.0,47.0,163.0,17,031,242800
"Census Tract 2429, Cook County, Illinois",108.0,32.0,181.0,177.0,261.0,148.0,81.0,214.0,17,031,242900
"Census Tract 2430, Cook County, Illinois",159.0,69.0,319.0,172.0,93.0,132.0,108.0,431.0,17,031,243000
"Census Tract 2431, Cook County, Illinois",62.0,187.0,194.0,179.0,262.0,104.0,65.0,245.0,17,031,243100
"Census Tract 2432, Cook County, Illinois",127.0,40.0,223.0,96.0,263.0,128.0,93.0,346.0,17,031,243200
"Census Tract 2433, Cook County, Illinois",91.0,119.0,261.0,136.0,329.0,220.0,113.0,441.0,17,031,243300
"Census Tract 2434, Cook County, Illinois",274.0,54.0,180.0,278.0,186.0,171.0,128.0,380.0,17,031,243400
"Census Tract 2435, Cook County, Illinois",69.0,52.0,232.0,62.0,355.0,321.0,172.0,868.0,17,031,243500
"Census Tract 2436, Cook County, Illinois",27.0,11.0,35.0,54.0,64.0,68.0,41.0,331.0,17,031,243600
"Census Tract 2501, Cook County, Illinois",0.0,9.0,0.0,0.0,59.0,0.0,0.0,0.0,17,031,250100
"Census Tract 2502, Cook County, Illinois",58.0,161.0,398.0,285.0,231.0,130.0,22.0,94.0,17,031,250200
"Census Tract 2503, Cook County, Illinois",262.0,187.0,289.0,291.0,417.0,264.0,0.0,85.0,17,031,250300
"Census Tract 2504, Cook County, Illinois",292.0,340.0,566.0,458.0,535.0,353.0,272.0,211.0,17,031,250400
"Census Tract 2505, Cook County, Illinois",235.0,364.0,436.0,610.0,828.0,666.0,196.0,621.0,17,031,250500
"Census Tract 2506, Cook County, Illinois",173.0,213.0,609.0,369.0,267.0,255.0,77.0,74.0,17,031,250600
"Census Tract 2507, Cook County, Illinois",180.0,285.0,443.0,509.0,422.0,219.0,157.0,62.0,17,031,250700
"Census Tract 2508, Cook County, Illinois",205.0,112.0,193.0,228.0,201.0,105.0,25.0,58.0,17,031,250800
"Census Tract 2509, Cook County, Illinois",103.0,69.0,38.0,26.0,38.0,53.0,8.0,9.0,17,031,250900
"Census Tract 2510, Cook County, Illinois",98.0,12.0,136.0,141.0,59.0,9.0,19.0,8.0,17,031,251000
"Census Tract 2511, Cook County, Illinois",180.0,87.0,356.0,373.0,202.0,130.0,12.0,29.0,17,031,251100
"Census Tract 2512, Cook County, Illinois",283.0,141.0,226.0,398.0,284.0,115.0,21.0,20.0,17,031,251200
"Census Tract 2513, Cook County, Illinois",344.0,185.0,329.0,442.0,311.0,118.0,47.0,39.0,17,031,251300
"Census Tract 2514, Cook County, Illinois",318.0,201.0,366.0,156.0,342.0,208.0,65.0,132.0,17,031,251400
"Census Tract 2515, Cook County, Illinois",354.0,271.0,243.0,391.0,155.0,82.0,47.0,101.0,17,031,251500
"Census Tract 2516, Cook County, Illinois",110.0,80.0,315.0,122.0,232.0,18.0,18.0,48.0,17,031,251600
"Census Tract 2517, Cook County, Illinois",87.0,13.0,99.0,144.0,132.0,47.0,0.0,8.0,17,031,251700
"Census Tract 2518, Cook County, Illinois",222.0,139.0,504.0,324.0,273.0,149.0,32.0,60.0,17,031,251800
"Census Tract 2519, Cook County, Illinois",277.0,274.0,511.0,101.0,251.0,175.0,0.0,45.0,17,031,251900
"Census Tract 2520, Cook County, Illinois",338.0,146.0,468.0,343.0,402.0,193.0,8.0,52.0,17,031,252000
"Census Tract 2521, Cook County, Illinois",323.0,145.0,404.0,493.0,594.0,328.0,12.0,107.0,17,031,252100
"Census Tract 2522, Cook County, Illinois",367.0,229.0,511.0,277.0,474.0,220.0,88.0,0.0,17,031,252200
"Census Tract 2523, Cook County, Illinois",7.0,25.0,15.0,1.0,11.0,0.0,0.0,38.0,17,031,252300
"Census Tract 2524, Cook County, Illinois",145.0,227.0,298.0,61.0,56.0,52.0,0.0,51.0,17,031,252400
"Census Tract 2601, Cook County, Illinois",75.0,24.0,34.0,66.0,24.0,31.0,0.0,12.0,17,031,260100
"Census Tract 2602, Cook County, Illinois",60.0,37.0,89.0,97.0,20.0,0.0,0.0,0.0,17,031,260200
"Census Tract 2603, Cook County, Illinois",150.0,56.0,37.0,80.0,204.0,11.0,0.0,4.0,17,031,260300
"Census Tract 0, Cook County, Illinois",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,031,000000
"Census Tract 101, Cook County, Illinois",279.0,211.0,449.0,365.0,295.0,193.0,97.0,215.0,17,031,010100
"Census Tract 102, Cook County, Illinois",532.0,313.0,732.0,700.0,705.0,429.0,187.0,393.0,17,031,010200
"Census Tract 103, Cook County, Illinois",495.0,159.0,498.0,502.0,710.0,378.0,92.0,284.0,17,031,010300
"Census Tract 104, Cook County, Illinois",548.0,240.0,427.0,382.0,455.0,373.0,75.0,265.0,17,031,010400
"Census Tract 105, Cook County, Illinois",922.0,530.0,855.0,684.0,864.0,396.0,306.0,519.0,17,031,010500
"Census Tract 106, Cook County, Illinois",456.0,189.0,745.0,437.0,810.0,606.0,426.0,304.0,17,031,010600
"Census Tract 107, Cook County, Illinois",689.0,672.0,1146.0,791.0,709.0,506.0,196.0,523.0,17,031,010700
"Census Tract 108, Cook County, Illinois",214.0,319.0,497.0,336.0,185.0,228.0,75.0,116.0,17,031,010800
"Census Tract 109, Cook County, Illinois",202.0,25.0,45.0,152.0,189.0,80.0,31.0,66.0,17,031,010900
"Census Tract 201, Cook County, Illinois",241.0,87.0,299.0,327.0,261.0,242.0,80.0,188.0,17,031,020100
"Census Tract 202, Cook County, Illinois",410.0,115.0,216.0,359.0,551.0,341.0,141.0,544.0,17,031,020200
"Census Tract 203, Cook County, Illinois",645.0,161.0,488.0,699.0,518.0,643.0,243.0,723.0,17,031,020300
"Census Tract 204, Cook County, Illinois",229.0,165.0,466.0,320.0,373.0,206.0,77.0,327.0,17,031,020400
"Census Tract 205, Cook County, Illinois",427.0,487.0,519.0,194.0,386.0,187.0,40.0,113.0,17,031,020500
"Census Tract 206, Cook County, Illinois",683.0,481.0,942.0,872.0,443.0,360.0,145.0,401.0,17,031,020600
"Census Tract 207, Cook County, Illinois",577.0,183.0,845.0,665.0,458.0,491.0,153.0,454.0,17,031,020700
"Census Tract 208, Cook County, Illinois",735.0,753.0,1163.0,1173.0,1254.0,623.0,414.0,445.0,17,031,020800
"Census Tract 209, Cook County, Illinois",707.0,496.0,947.0,989.0,941.0,354.0,84.0,325.0,17,031,020900
"Census Tract 301, Cook County, Illinois",1620.0,507.0,999.0,692.0,937.0,621.0,393.0,1011.0,17,031,030100
