community_area,NAME,0-15k,15-25k,25-50k,50-75k,75k+,state,county,population,period
ALBANY PARK,"Census Tract 1401, Cook County, Illinois",15066.0,5826.0,9514.0,4615.0,5356.0,17,31,49806.0,2015-2019
ARCHER HEIGHTS,"Census Tract 5701, Cook County, Illinois",4159.0,2083.0,2636.0,865.0,615.0,17,31,13726.0,2015-2019
ARMOUR SQUARE,"Census Tract 3406, Cook County, Illinois",6199.0,1634.0,2063.0,784.0,984.0,17,31,13538.0,2015-2019
ASHBURN,"Census Tract 7002, Cook County, Illinois",13111.0,4094.0,8267.0,4262.0,4032.0,17,31,43356.0,2015-2019
AUBURN GRESHAM,"Census Tract 7101, Cook County, Illinois",18115.0,5889.0,8036.0,2943.0,2191.0,17,31,45909.0,2015-2019
AUSTIN,"Census Tract 8313, Cook County, Illinois",37079.0,12143.0,14918.0,6065.0,4485.0,17,31,93727.0,2015-2019
AVALON PARK,"Census Tract 8343, Cook County, Illinois",3524.0,1141.0,1869.0,1108.0,731.0,17,31,9713.0,2015-2019
AVONDALE,"Census Tract 8311, Cook County, Illinois",9984.0,4832.0,7582.0,4405.0,4473.0,17,31,38118.0,2015-2019
BELMONT CRAGIN,"Census Tract 1910, Cook County, Illinois",25423.0,10617.0,16024.0,5976.0,3204.0,17,31,78601.0,2015-2019
BEVERLY,"Census Tract 7201, Cook County, Illinois",4195.0,1615.0,2948.0,2277.0,4954.0,17,31,19791.0,2015-2019
BRIDGEPORT,"Census Tract 6007, Cook County, Illinois",11465.0,4012.0,6362.0,3337.0,3951.0,17,31,34540.0,2015-2019
BRIGHTON PARK,"Census Tract 5807, Cook County, Illinois",15251.0,6280.0,8222.0,2336.0,1341.0,17,31,44156.0,2015-2019
BURNSIDE,"Census Tract 4701, Cook County, Illinois",855.0,280.0,489.0,120.0,41.0,17,31,2006.0,2015-2019
CALUMET HEIGHTS,"Census Tract 4805, Cook County, Illinois",3915.0,1928.0,2785.0,1292.0,1188.0,17,31,12815.0,2015-2019
CHATHAM,"Census Tract 4409, Cook County, Illinois",11364.0,3429.0,5565.0,2620.0,2136.0,17,31,30967.0,2015-2019
CHICAGO LAWN,"Census Tract 6610, Cook County, Illinois",18430.0,8740.0,8583.0,2531.0,1316.0,17,31,51352.0,2015-2019
CLEARING,"Census Tract 6404, Cook County, Illinois",6898.0,2491.0,5213.0,2563.0,2381.0,17,31,24976.0,2015-2019
DOUGLAS,"Census Tract 3510, Cook County, Illinois",9839.0,1753.0,2635.0,2014.0,2015.0,17,31,21353.0,2015-2019
DUNNING,"Census Tract 1709, Cook County, Illinois",12114.0,5050.0,8545.0,5250.0,5154.0,17,31,43445.0,2015-2019
EAST GARFIELD PARK,"Census Tract 2705, Cook County, Illinois",8388.0,1765.0,2332.0,871.0,745.0,17,31,18940.0,2015-2019
EAST SIDE,"Census Tract 5204, Cook County, Illinois",8313.0,2504.0,4346.0,1722.0,1115.0,17,31,23723.0,2015-2019
EDGEWATER,"Census Tract 301.02, Cook County, Illinois",15409.0,6537.0,11132.0,7049.0,9946.0,17,31,55407.0,2015-2019
EDISON PARK,"Census Tract 901, Cook County, Illinois",1688.0,1020.0,1539.0,1572.0,3171.0,17,31,11264.0,2015-2019
ENGLEWOOD,"Census Tract 6814, Cook County, Illinois",10595.0,3034.0,2725.0,833.0,498.0,17,31,22921.0,2015-2019
FOREST GLEN,"Census Tract 1201, Cook County, Illinois",4090.0,1373.0,2812.0,1792.0,5134.0,17,31,19384.0,2015-2019
FULLER PARK,"Census Tract 8355, Cook County, Illinois",1058.0,408.0,297.0,117.0,67.0,17,31,2330.0,2015-2019
