Community Area,NAME,0-25k,25-60k,60-100k,100-150k,150-200k,200k+,state,county,population,period
IRVING PARK,"Census Tract 1605.02, Cook County, Illinois",0.0779075942644716,0.1338644007788989,0.07369445919631794,0.04315808107629669,0.015542573906886174,0.015418658169587538,17,31,56490.0,2010-2014
JEFFERSON PARK,"Census Tract 1103, Cook County, Illinois",0.07877664504170528,0.10305838739573679,0.087451343836886,0.061427247451343835,0.026209453197405006,0.018053753475440224,17,31,26975.0,2010-2014
KENWOOD,"Census Tract 3904, Cook County, Illinois",0.186583850931677,0.1458385093167702,0.04695652173913043,0.04422360248447205,0.016231884057971015,0.038592132505175986,17,31,12075.0,2010-2014
LAKE VIEW,"Census Tract 628, Cook County, Illinois",0.08087654419930618,0.11600242721225514,0.11659778116162715,0.09096321399539746,0.03948799560354006,0.07455663304443401,17,31,87343.0,2010-2014
LINCOLN PARK,"Census Tract 705, Cook County, Illinois",0.08471440918257495,0.08759533593122167,0.09610165122591015,0.07942260162848175,0.04940031235311064,0.09208351655016603,17,31,65951.0,2010-2014
LINCOLN SQUARE,"Census Tract 401, Cook County, Illinois",0.09125850254128,0.1240802083596733,0.10852909196652084,0.059220674134574054,0.028472450501934407,0.03658937466811642,17,31,39547.0,2010-2014
LOGAN SQUARE,"Census Tract 2226, Cook County, Illinois",0.09074336641685234,0.11760178245898319,0.08141246370940518,0.05120518533522382,0.02823577071095807,0.02560259266761191,17,31,74055.0,2010-2014
LOOP,"Census Tract 3204, Cook County, Illinois",0.08795117812153254,0.09640362900593956,0.11653939037921807,0.10413811108935449,0.061875856667319366,0.0778996149076431,17,31,30642.0,2010-2014
LOWER WEST SIDE,"Census Tract 3105, Cook County, Illinois",0.11492609851625261,0.13433774550444552,0.05997884444952686,0.021298493381743333,0.0054890076903284825,0.004202521512907745,17,31,34979.0,2010-2014
MCKINLEY PARK,"Census Tract 5907, Cook County, Illinois",0.09076539607270959,0.11818347619916104,0.06875797920846252,0.023588060064441606,0.008328773785640465,0.002553346708006566,17,31,16449.0,2010-2014
MONTCLARE,"Census Tract 1801, Cook County, Illinois",0.0838006230529595,0.15038940809968848,0.057165109034267914,0.03808411214953271,0.005218068535825546,0.008255451713395638,17,31,12840.0,2010-2014
MORGAN PARK,"Census Tract 7502, Cook County, Illinois",0.0791242889157042,0.08886398896741941,0.08938114118255473,0.05128426133425271,0.021720393035683502,0.012109981037752111,17,31,23204.0,2010-2014
MOUNT GREENWOOD,"Census Tract 7401, Cook County, Illinois",0.037914691943127965,0.062482976521218064,0.09783733725554285,0.09723811080241869,0.03943999564198943,0.014599335403388354,17,31,18357.0,2010-2014
NEAR NORTH SIDE,"Census Tract 811, Cook County, Illinois",0.12127429805615551,0.11160907127429806,0.12798326133909288,0.09819114470842333,0.055183585313174945,0.1087877969762419,17,31,74080.0,2010-2014
NEAR SOUTH SIDE,"Census Tract 8410, Cook County, Illinois",0.09695290858725762,0.1392761454974797,0.11806911584396712,0.09236637754870351,0.04600154398074565,0.07946959720267018,17,31,22021.0,2010-2014
NEAR WEST SIDE,"Census Tract 2831, Cook County, Illinois",0.12100375218594543,0.07740369106436443,0.09786244248629009,0.07719995246099255,0.04030628703373572,0.04417732049780132,17,31,58899.0,2010-2014
NEW CITY,"Census Tract 8438, Cook County, Illinois",0.11031780374056445,0.10724073272753498,0.04101158709553344,0.01204384826193567,0.0055771912111159195,0.0010577431607288813,17,31,41598.0,2010-2014
NORTH CENTER,"Census Tract 503, Cook County, Illinois",0.04388912824931782,0.08536550337498205,0.10033031739192877,0.07901766479965532,0.038374263966681026,0.0743932213126526,17,31,34815.0,2010-2014
NORTH LAWNDALE,"Census Tract 2916, Cook County, Illinois",0.15902647166156697,0.08626449204165848,0.03980574348033574,0.013530584173146563,0.0021334531061392922,0.001150941807259355,17,31,35623.0,2010-2014
NORTH PARK,"Census Tract 1302, Cook County, Illinois",0.09901428729648909,0.09962343559641157,0.07758334256285303,0.04114519880385425,0.02602724554214199,0.015228707498061801,17,31,18058.0,2010-2014
NORWOOD PARK,"Census Tract 1001, Cook County, Illinois",0.06895795647645672,0.10064134188455846,0.0989146521953626,0.0713150249410733,0.028504083758153814,0.024475141150030147,17,31,36486.0,2010-2014
OAKLAND,"Census Tract 3602, Cook County, Illinois",0.21384803921568626,0.14185049019607843,0.027879901960784315,0.008884803921568627,0.0,0.0,17,31,3264.0,2010-2014
OHARE,"Census Tract 9800, Cook County, Illinois",0.13469560913526127,0.13554408541327864,0.11475641660185251,0.03231280492116241,0.01067665983171887,0.004454500459591317,17,31,14143.0,2010-2014
PORTAGE PARK,"Census Tract 1504.01, Cook County, Illinois",0.07610163440793456,0.11290297546059881,0.08907756065003802,0.04668850016297515,0.016980458503422478,0.007310599593338196,17,31,64427.0,2010-2014
PULLMAN,"Census Tract 5002, Cook County, Illinois",0.15193687230989958,0.1387374461979914,0.09038737446197992,0.036154949784791966,0.001721664275466284,0.0010043041606886656,17,31,6970.0,2010-2014
RIVERDALE,"Census Tract 5401.01, Cook County, Illinois",0.2148817802503477,0.08275382475660639,0.02239221140472879,0.002086230876216968,0.0,0.0,17,31,7190.0,2010-2014
ROGERS PARK,"Census Tract 102.01, Cook County, Illinois",0.15708522941795997,0.136140532162232,0.07573077916658387,0.04107465771118574,0.010929396101186336,0.009260179242096059,17,31,50323.0,2010-2014
ROSELAND,"Census Tract 4905, Cook County, Illinois",0.11281541554656968,0.12176113131678225,0.06210043599069284,0.026001310231097658,0.006483384914270224,0.00176203492443581,17,31,44267.0,2010-2014
SOUTH CHICAGO,"Census Tract 4602, Cook County, Illinois",0.16080560420315237,0.11768826619964974,0.050683012259194395,0.015551663747810859,0.008861646234676007,0.0028371278458844133,17,31,28550.0,2010-2014
SOUTH DEERING,"Census Tract 5103, Cook County, Illinois",0.1260115606936416,0.10712909441233141,0.06037251123956326,0.021772639691714835,0.00449582530507386,0.001477199743095697,17,31,15570.0,2010-2014
SOUTH LAWNDALE,"Census Tract 3007, Cook County, Illinois",0.09466115997310684,0.10507539687984523,0.028827815205609144,0.009042137182530427,0.0010290747931559665,0.0007546548483143755,17,31,72881.0,2010-2014
