Community Area,NAME,0-25k,25-60k,60-100k,100-150k,150-200k,200k+,state,county,population,period
NORTH PARK,"Census Tract 1302, Cook County, Illinois",1788.0,1799.0,1401.0,743.0,470.0,275.0,17,31,18058.0,2010-2014
NORWOOD PARK,"Census Tract 1001, Cook County, Illinois",2516.0,3672.0,3609.0,2602.0,1040.0,893.0,17,31,36486.0,2010-2014
OAKLAND,"Census Tract 3602, Cook County, Illinois",698.0,463.0,91.0,29.0,0.0,0.0,17,31,3264.0,2010-2014
OHARE,"Census Tract 9800, Cook County, Illinois",1905.0,1917.0,1623.0,457.0,151.0,63.0,17,31,14143.0,2010-2014
PORTAGE PARK,"Census Tract 1504.01, Cook County, Illinois",4903.0,7274.0,5739.0,3008.0,1094.0,471.0,17,31,64427.0,2010-2014
PULLMAN,"Census Tract 5002, Cook County, Illinois",1059.0,967.0,630.0,252.0,12.0,7.0,17,31,6970.0,2010-2014
RIVERDALE,"Census Tract 5401.01, Cook County, Illinois",1545.0,595.0,161.0,15.0,0.0,0.0,17,31,7190.0,2010-2014
ROGERS PARK,"Census Tract 102.01, Cook County, Illinois",7905.0,6851.0,3811.0,2067.0,550.0,466.0,17,31,50323.0,2010-2014
ROSELAND,"Census Tract 4905, Cook County, Illinois",4994.0,5390.0,2749.0,1151.0,287.0,78.0,17,31,44267.0,2010-2014
SOUTH CHICAGO,"Census Tract 4602, Cook County, Illinois",4591.0,3360.0,1447.0,444.0,253.0,81.0,17,31,28550.0,2010-2014
SOUTH DEERING,"Census Tract 5103, Cook County, Illinois",1962.0,1668.0,940.0,339.0,70.0,23.0,17,31,15570.0,2010-2014
SOUTH LAWNDALE,"Census Tract 3007, Cook County, Illinois",6899.0,7658.0,2101.0,659.0,75.0,55.0,17,31,72881.0,2010-2014
SOUTH SHORE,"Census Tract 4304, Cook County, Illinois",7844.0,4844.0,2587.0,816.0,186.0,174.0,17,31,39552.0,2010-2014
UPTOWN,"Census Tract 317, Cook County, Illinois",10320.0,7270.0,5549.0,3284.0,1426.0,1446.0,17,31,54062.0,2010-2014
WASHINGTON HEIGHTS,"Census Tract 7303, Cook County, Illinois",2744.0,3552.0,1813.0,983.0,152.0,39.0,17,31,26435.0,2010-2014
WASHINGTON PARK,"Census Tract 8361, Cook County, Illinois",2223.0,1140.0,598.0,115.0,43.0,53.0,17,31,11647.0,2010-2014
WEST ELSDON,"Census Tract 6201, Cook County, Illinois",1107.0,2156.0,1118.0,630.0,45.0,25.0,17,31,19165.0,2010-2014
WEST ENGLEWOOD,"Census Tract 6701, Cook County, Illinois",4696.0,3391.0,1423.0,411.0,81.0,34.0,17,31,34272.0,2010-2014
WEST GARFIELD PARK,"Census Tract 2606, Cook County, Illinois",2684.0,1746.0,834.0,132.0,22.0,13.0,17,31,18885.0,2010-2014
WEST LAWN,"Census Tract 6503.01, Cook County, Illinois",1721.0,3671.0,2270.0,1084.0,257.0,47.0,17,31,33477.0,2010-2014
WEST PULLMAN,"Census Tract 5305.01, Cook County, Illinois",3538.0,3020.0,1773.0,579.0,130.0,114.0,17,31,28160.0,2010-2014
WEST RIDGE,"Census Tract 202, Cook County, Illinois",6237.0,8408.0,4963.0,2924.0,1042.0,671.0,17,31,73019.0,2010-2014
WEST TOWN,"Census Tract 2407, Cook County, Illinois",6982.0,8956.0,7782.0,5880.0,3065.0,4114.0,17,31,84319.0,2010-2014
WOODLAWN,"Census Tract 8439, Cook County, Illinois",4913.0,3057.0,1359.0,576.0,256.0,106.0,17,31,25451.0,2010-2014
ALBANY PARK,"Census Tract 1401, Cook County, Illinois",3037.0,5231.0,3861.0,2623.0,1203.0,954.0,17,31,49806.0,2015-2019
ARCHER HEIGHTS,"Census Tract 5701, Cook County, Illinois",840.0,1536.0,684.0,636.0,161.0,62.0,17,31,13726.0,2015-2019
ARMOUR SQUARE,"Census Tract 3406, Cook County, Illinois",2431.0,1322.0,843.0,383.0,258.0,159.0,17,31,13538.0,2015-2019
ASHBURN,"Census Tract 7002, Cook County, Illinois",2266.0,3166.0,3728.0,2498.0,1093.0,373.0,17,31,43356.0,2015-2019
AUBURN GRESHAM,"Census Tract 7101, Cook County, Illinois",6701.0,5433.0,2992.0,1539.0,291.0,205.0,17,31,45909.0,2015-2019
AUSTIN,"Census Tract 8313, Cook County, Illinois",12869.0,10367.0,4733.0,3177.0,877.0,637.0,17,31,93727.0,2015-2019
AVALON PARK,"Census Tract 8343, Cook County, Illinois",1213.0,1239.0,872.0,460.0,183.0,40.0,17,31,9713.0,2015-2019
AVONDALE,"Census Tract 8311, Cook County, Illinois",2188.0,4097.0,3004.0,2329.0,948.0,1073.0,17,31,38118.0,2015-2019
BELMONT CRAGIN,"Census Tract 1910, Cook County, Illinois",5056.0,7764.0,5392.0,2795.0,954.0,515.0,17,31,78601.0,2015-2019
BEVERLY,"Census Tract 7201, Cook County, Illinois",663.0,1532.0,1604.0,1358.0,1120.0,1204.0,17,31,19791.0,2015-2019
BRIDGEPORT,"Census Tract 6007, Cook County, Illinois",2992.0,4039.0,2672.0,1733.0,792.0,766.0,17,31,34540.0,2015-2019
BRIGHTON PARK,"Census Tract 5807, Cook County, Illinois",3344.0,5184.0,2438.0,936.0,380.0,299.0,17,31,44156.0,2015-2019
BURNSIDE,"Census Tract 4701, Cook County, Illinois",412.0,247.0,127.0,97.0,5.0,0.0,17,31,2006.0,2015-2019
CALUMET HEIGHTS,"Census Tract 4805, Cook County, Illinois",1336.0,1781.0,1085.0,710.0,263.0,144.0,17,31,12815.0,2015-2019
CHATHAM,"Census Tract 4409, Cook County, Illinois",5550.0,4242.0,2484.0,1162.0,208.0,261.0,17,31,30967.0,2015-2019
CHICAGO LAWN,"Census Tract 6610, Cook County, Illinois",6013.0,5948.0,2666.0,1219.0,350.0,172.0,17,31,51352.0,2015-2019
CLEARING,"Census Tract 6404, Cook County, Illinois",1366.0,2988.0,2376.0,1398.0,472.0,237.0,17,31,24976.0,2015-2019
DOUGLAS,"Census Tract 3510, Cook County, Illinois",4322.0,2524.0,1635.0,700.0,325.0,261.0,17,31,21353.0,2015-2019
DUNNING,"Census Tract 1709, Cook County, Illinois",2666.0,3916.0,3873.0,3049.0,1234.0,738.0,17,31,43445.0,2015-2019
EAST GARFIELD PARK,"Census Tract 2705, Cook County, Illinois",3430.0,1819.0,887.0,445.0,169.0,44.0,17,31,18940.0,2015-2019
EAST SIDE,"Census Tract 5204, Cook County, Illinois",1511.0,2658.0,1630.0,881.0,160.0,136.0,17,31,23723.0,2015-2019
EDGEWATER,"Census Tract 301.02, Cook County, Illinois",6743.0,8264.0,5634.0,3708.0,1814.0,2227.0,17,31,55407.0,2015-2019
EDISON PARK,"Census Tract 901, Cook County, Illinois",576.0,636.0,1011.0,885.0,598.0,956.0,17,31,11264.0,2015-2019
ENGLEWOOD,"Census Tract 6814, Cook County, Illinois",4977.0,2846.0,776.0,256.0,46.0,82.0,17,31,22921.0,2015-2019
FOREST GLEN,"Census Tract 1201, Cook County, Illinois",756.0,1097.0,1046.0,1204.0,1263.0,1605.0,17,31,19384.0,2015-2019
FULLER PARK,"Census Tract 8355, Cook County, Illinois",634.0,364.0,64.0,66.0,0.0,0.0,17,31,2330.0,2015-2019
GAGE PARK,"Census Tract 6302, Cook County, Illinois",2568.0,3947.0,1955.0,920.0,367.0,71.0,17,31,37478.0,2015-2019
GARFIELD RIDGE,"Census Tract 5609, Cook County, Illinois",1787.0,3172.0,2981.0,2230.0,1493.0,638.0,17,31,37207.0,2015-2019
GRAND BOULEVARD,"Census Tract 3801, Cook County, Illinois",4352.0,2838.0,1728.0,980.0,477.0,327.0,17,31,22643.0,2015-2019
GREATER GRAND CROSSING,"Census Tract 6911, Cook County, Illinois",5409.0,3616.0,1983.0,705.0,282.0,139.0,17,31,30149.0,2015-2019
HEGEWISCH,"Census Tract 5501, Cook County, Illinois",1073.0,744.0,909.0,566.0,201.0,37.0,17,31,9089.0,2015-2019
HERMOSA,"Census Tract 2001, Cook County, Illinois",1595.0,2858.0,1295.0,796.0,276.0,292.0,17,31,23481.0,2015-2019
HUMBOLDT PARK,"Census Tract 2307, Cook County, Illinois",5583.0,6396.0,3098.0,1687.0,469.0,285.0,17,31,55364.0,2015-2019
HYDE PARK,"Census Tract 4108, Cook County, Illinois",2678.0,1923.0,1468.0,766.0,453.0,942.0,17,31,18624.0,2015-2019
IRVING PARK,"Census Tract 1609, Cook County, Illinois",2744.0,6553.0,4676.0,3010.0,1690.0,1888.0,17,31,53530.0,2015-2019
JEFFERSON PARK,"Census Tract 1101, Cook County, Illinois",1617.0,2563.0,2448.0,2003.0,1051.0,699.0,17,31,27503.0,2015-2019
KENWOOD,"Census Tract 3904, Cook County, Illinois",2303.0,1414.0,941.0,596.0,348.0,624.0,17,31,12582.0,2015-2019
