Community Area,NAME,no_hs,hs,some_college,state,county,bachelors,graduate,population,period
OHARE,"Census Tract 9800, Cook County, Illinois",1193.0,2894.0,2765.0,17,31,2047.0,1271.0,14143.0,2010-2014
PORTAGE PARK,"Census Tract 1504.01, Cook County, Illinois",8049.0,14004.0,12041.0,17,31,7174.0,3169.0,64427.0,2010-2014
PULLMAN,"Census Tract 5002, Cook County, Illinois",772.0,1325.0,1903.0,17,31,685.0,343.0,6970.0,2010-2014
RIVERDALE,"Census Tract 5401.01, Cook County, Illinois",830.0,1077.0,1094.0,17,31,99.0,29.0,7190.0,2010-2014
ROGERS PARK,"Census Tract 102.01, Cook County, Illinois",6011.0,6811.0,7991.0,17,31,8516.0,5347.0,50323.0,2010-2014
ROSELAND,"Census Tract 4905, Cook County, Illinois",4635.0,7777.0,10757.0,17,31,3502.0,2026.0,44267.0,2010-2014
SOUTH CHICAGO,"Census Tract 4602, Cook County, Illinois",4452.0,4725.0,5928.0,17,31,1522.0,907.0,28550.0,2010-2014
SOUTH DEERING,"Census Tract 5103, Cook County, Illinois",2095.0,3169.0,3492.0,17,31,631.0,451.0,15570.0,2010-2014
SOUTH LAWNDALE,"Census Tract 3007, Cook County, Illinois",22549.0,10925.0,5808.0,17,31,1709.0,607.0,72881.0,2010-2014
SOUTH SHORE,"Census Tract 4304, Cook County, Illinois",3778.0,6428.0,9284.0,17,31,3135.0,2192.0,39552.0,2010-2014
UPTOWN,"Census Tract 317, Cook County, Illinois",4742.0,6768.0,8521.0,17,31,14469.0,9580.0,54062.0,2010-2014
WASHINGTON HEIGHTS,"Census Tract 7303, Cook County, Illinois",2061.0,5759.0,6909.0,17,31,2493.0,1143.0,26435.0,2010-2014
WASHINGTON PARK,"Census Tract 8361, Cook County, Illinois",1311.0,1682.0,2006.0,17,31,635.0,465.0,11647.0,2010-2014
WEST ELSDON,"Census Tract 6201, Cook County, Illinois",3514.0,4274.0,2555.0,17,31,717.0,261.0,19165.0,2010-2014
WEST ENGLEWOOD,"Census Tract 6701, Cook County, Illinois",5331.0,8032.0,6161.0,17,31,1180.0,395.0,34272.0,2010-2014
WEST GARFIELD PARK,"Census Tract 2606, Cook County, Illinois",2827.0,4071.0,3072.0,17,31,367.0,90.0,18885.0,2010-2014
WEST LAWN,"Census Tract 6503.01, Cook County, Illinois",6650.0,6436.0,4729.0,17,31,1463.0,558.0,33477.0,2010-2014
WEST PULLMAN,"Census Tract 5305.01, Cook County, Illinois",3332.0,5693.0,6037.0,17,31,1495.0,1001.0,28160.0,2010-2014
WEST RIDGE,"Census Tract 202, Cook County, Illinois",8247.0,10212.0,10730.0,17,31,12323.0,6753.0,73019.0,2010-2014
WEST TOWN,"Census Tract 2407, Cook County, Illinois",7687.0,7707.0,9544.0,17,31,24383.0,13670.0,84319.0,2010-2014
WOODLAWN,"Census Tract 8439, Cook County, Illinois",2480.0,3286.0,5345.0,17,31,2262.0,1791.0,25451.0,2010-2014
ALBANY PARK,"Census Tract 1401, Cook County, Illinois",6730.0,8105.0,6404.0,17,31,8265.0,4207.0,49806.0,2015-2019
ARCHER HEIGHTS,"Census Tract 5701, Cook County, Illinois",2458.0,3253.0,1564.0,17,31,840.0,237.0,13726.0,2015-2019
ARMOUR SQUARE,"Census Tract 3406, Cook County, Illinois",3843.0,2522.0,1282.0,17,31,1725.0,936.0,13538.0,2015-2019
ASHBURN,"Census Tract 7002, Cook County, Illinois",4624.0,7943.0,9129.0,17,31,3690.0,2092.0,43356.0,2015-2019
AUBURN GRESHAM,"Census Tract 7101, Cook County, Illinois",4977.0,9750.0,11889.0,17,31,2960.0,1632.0,45909.0,2015-2019
AUSTIN,"Census Tract 8313, Cook County, Illinois",11584.0,22218.0,18847.0,17,31,6097.0,3242.0,93727.0,2015-2019
AVALON PARK,"Census Tract 8343, Cook County, Illinois",736.0,1893.0,2435.0,17,31,1151.0,799.0,9713.0,2015-2019
AVONDALE,"Census Tract 8311, Cook County, Illinois",5164.0,5827.0,5729.0,17,31,6598.0,3469.0,38118.0,2015-2019
BELMONT CRAGIN,"Census Tract 1910, Cook County, Illinois",15912.0,15655.0,11832.0,17,31,4860.0,1878.0,78601.0,2015-2019
BEVERLY,"Census Tract 7201, Cook County, Illinois",493.0,1988.0,3912.0,17,31,4029.0,3718.0,19791.0,2015-2019
BRIDGEPORT,"Census Tract 6007, Cook County, Illinois",4592.0,6628.0,5559.0,17,31,5563.0,3040.0,34540.0,2015-2019
BRIGHTON PARK,"Census Tract 5807, Cook County, Illinois",9262.0,10044.0,4493.0,17,31,2300.0,693.0,44156.0,2015-2019
BURNSIDE,"Census Tract 4701, Cook County, Illinois",238.0,607.0,467.0,17,31,115.0,117.0,2006.0,2015-2019
CALUMET HEIGHTS,"Census Tract 4805, Cook County, Illinois",775.0,2320.0,3905.0,17,31,1788.0,782.0,12815.0,2015-2019
CHATHAM,"Census Tract 4409, Cook County, Illinois",2688.0,5819.0,8114.0,17,31,3312.0,1909.0,30967.0,2015-2019
CHICAGO LAWN,"Census Tract 6610, Cook County, Illinois",8208.0,12955.0,7878.0,17,31,1886.0,749.0,51352.0,2015-2019
CLEARING,"Census Tract 6404, Cook County, Illinois",2432.0,6113.0,5059.0,17,31,2418.0,849.0,24976.0,2015-2019
DOUGLAS,"Census Tract 3510, Cook County, Illinois",1514.0,2396.0,3849.0,17,31,3345.0,2843.0,21353.0,2015-2019
DUNNING,"Census Tract 1709, Cook County, Illinois",3407.0,9824.0,9796.0,17,31,5513.0,2941.0,43445.0,2015-2019
EAST GARFIELD PARK,"Census Tract 2705, Cook County, Illinois",2489.0,3567.0,3533.0,17,31,1232.0,646.0,18940.0,2015-2019
EAST SIDE,"Census Tract 5204, Cook County, Illinois",4028.0,5089.0,3283.0,17,31,1190.0,445.0,23723.0,2015-2019
EDGEWATER,"Census Tract 301.02, Cook County, Illinois",4055.0,6049.0,8633.0,17,31,14140.0,11190.0,55407.0,2015-2019
EDISON PARK,"Census Tract 901, Cook County, Illinois",364.0,1604.0,2230.0,17,31,2493.0,1566.0,11264.0,2015-2019
ENGLEWOOD,"Census Tract 6814, Cook County, Illinois",3463.0,5076.0,4653.0,17,31,1000.0,386.0,22921.0,2015-2019
FOREST GLEN,"Census Tract 1201, Cook County, Illinois",806.0,1830.0,3245.0,17,31,4247.0,3576.0,19384.0,2015-2019
FULLER PARK,"Census Tract 8355, Cook County, Illinois",369.0,718.0,456.0,17,31,104.0,52.0,2330.0,2015-2019
GAGE PARK,"Census Tract 6302, Cook County, Illinois",7028.0,9175.0,4152.0,17,31,1181.0,302.0,37478.0,2015-2019
GARFIELD RIDGE,"Census Tract 5609, Cook County, Illinois",4366.0,8399.0,7403.0,17,31,3815.0,1718.0,37207.0,2015-2019
GRAND BOULEVARD,"Census Tract 3801, Cook County, Illinois",2030.0,3395.0,4841.0,17,31,2986.0,2197.0,22643.0,2015-2019
GREATER GRAND CROSSING,"Census Tract 6911, Cook County, Illinois",2752.0,5658.0,8453.0,17,31,2179.0,1419.0,30149.0,2015-2019
HEGEWISCH,"Census Tract 5501, Cook County, Illinois",1026.0,2324.0,1941.0,17,31,630.0,391.0,9089.0,2015-2019
HERMOSA,"Census Tract 2001, Cook County, Illinois",5237.0,4211.0,3396.0,17,31,1647.0,795.0,23481.0,2015-2019
HUMBOLDT PARK,"Census Tract 2307, Cook County, Illinois",10043.0,9763.0,9191.0,17,31,3563.0,2015.0,55364.0,2015-2019
HYDE PARK,"Census Tract 4108, Cook County, Illinois",475.0,676.0,1544.0,17,31,2632.0,5694.0,18624.0,2015-2019
IRVING PARK,"Census Tract 1609, Cook County, Illinois",5778.0,8144.0,8855.0,17,31,10014.0,5713.0,53530.0,2015-2019
JEFFERSON PARK,"Census Tract 1101, Cook County, Illinois",1899.0,5218.0,5675.0,17,31,4824.0,2441.0,27503.0,2015-2019
KENWOOD,"Census Tract 3904, Cook County, Illinois",636.0,1330.0,2160.0,17,31,2196.0,2458.0,12582.0,2015-2019
LAKE VIEW,"Census Tract 8319, Cook County, Illinois",1484.0,3092.0,7240.0,17,31,32410.0,22583.0,89861.0,2015-2019
LINCOLN PARK,"Census Tract 8325, Cook County, Illinois",1083.0,2839.0,3971.0,17,31,23451.0,18192.0,69465.0,2015-2019
LINCOLN SQUARE,"Census Tract 8308, Cook County, Illinois",2218.0,3825.0,5669.0,17,31,12309.0,8383.0,42103.0,2015-2019
LOGAN SQUARE,"Census Tract 8309, Cook County, Illinois",4705.0,9887.0,8335.0,17,31,19728.0,11465.0,73277.0,2015-2019
LOOP,"Census Tract 8390, Cook County, Illinois",506.0,1153.0,3560.0,17,31,11456.0,12623.0,38655.0,2015-2019
LOWER WEST SIDE,"Census Tract 3104, Cook County, Illinois",6513.0,3874.0,4657.0,17,31,5171.0,2863.0,33203.0,2015-2019
MCKINLEY PARK,"Census Tract 5906, Cook County, Illinois",2752.0,3109.0,2248.0,17,31,1481.0,718.0,15177.0,2015-2019
MONTCLARE,"Census Tract 8316, Cook County, Illinois",1858.0,3028.0,3091.0,17,31,1031.0,645.0,14267.0,2015-2019
MORGAN PARK,"Census Tract 7502, Cook County, Illinois",1050.0,3188.0,4709.0,17,31,3023.0,2689.0,21050.0,2015-2019
MOUNT GREENWOOD,"Census Tract 7403, Cook County, Illinois",453.0,2760.0,4341.0,17,31,3096.0,2010.0,19190.0,2015-2019
