Community Area,NAME,female,state,county,population,period
HYDE PARK,"Census Tract 4108, Cook County, Illinois",0.5117590206185567,17,31,18624.0,2015-2019
IRVING PARK,"Census Tract 1609, Cook County, Illinois",0.502036241359985,17,31,53530.0,2015-2019
JEFFERSON PARK,"Census Tract 1101, Cook County, Illinois",0.5152892411736901,17,31,27503.0,2015-2019
KENWOOD,"Census Tract 3904, Cook County, Illinois",0.5485614369734542,17,31,12582.0,2015-2019
LAKE VIEW,"Census Tract 8319, Cook County, Illinois",0.48894403578860685,17,31,89861.0,2015-2019
LINCOLN PARK,"Census Tract 8325, Cook County, Illinois",0.49116821420859424,17,31,69465.0,2015-2019
LINCOLN SQUARE,"Census Tract 8308, Cook County, Illinois",0.5123862907631285,17,31,42103.0,2015-2019
LOGAN SQUARE,"Census Tract 8309, Cook County, Illinois",0.49183236213272924,17,31,73277.0,2015-2019
LOOP,"Census Tract 8390, Cook County, Illinois",0.5193377312120037,17,31,38655.0,2015-2019
LOWER WEST SIDE,"Census Tract 3104, Cook County, Illinois",0.486130771315845,17,31,33203.0,2015-2019
MCKINLEY PARK,"Census Tract 5906, Cook County, Illinois",0.5035250708308625,17,31,15177.0,2015-2019
MONTCLARE,"Census Tract 8316, Cook County, Illinois",0.5283521413051097,17,31,14267.0,2015-2019
MORGAN PARK,"Census Tract 7502, Cook County, Illinois",0.5554869358669834,17,31,21050.0,2015-2019
MOUNT GREENWOOD,"Census Tract 7403, Cook County, Illinois",0.5127149557060969,17,31,19190.0,2015-2019
NEAR NORTH SIDE,"Census Tract 8383, Cook County, Illinois",0.5309128630705394,17,31,81940.0,2015-2019
NEAR SOUTH SIDE,"Census Tract 3302, Cook County, Illinois",0.5675522665696147,17,31,24729.0,2015-2019
NEAR WEST SIDE,"Census Tract 2831, Cook County, Illinois",0.5126800696533165,17,31,63170.0,2015-2019
NEW CITY,"Census Tract 6119, Cook County, Illinois",0.48881239242685026,17,31,39508.0,2015-2019
NORTH CENTER,"Census Tract 501, Cook County, Illinois",0.512618518414315,17,31,35543.0,2015-2019
NORTH LAWNDALE,"Census Tract 8386, Cook County, Illinois",0.5490287780999594,17,31,32073.0,2015-2019
NORTH PARK,"Census Tract 8318, Cook County, Illinois",0.5205667759331712,17,31,18914.0,2015-2019
NORWOOD PARK,"Census Tract 1004, Cook County, Illinois",0.5177723868790212,17,31,37924.0,2015-2019
OAKLAND,"Census Tract 3602, Cook County, Illinois",0.541860465116279,17,31,3440.0,2015-2019
OHARE,"Census Tract 7608.01, Cook County, Illinois",0.4688593421973408,17,31,12861.0,2015-2019
PORTAGE PARK,"Census Tract 8317, Cook County, Illinois",0.5074065474808451,17,31,64605.0,2015-2019
PULLMAN,"Census Tract 5001, Cook County, Illinois",0.5593567251461988,17,31,6840.0,2015-2019
RIVERDALE,"Census Tract 5401.01, Cook County, Illinois",0.6498165511618427,17,31,7359.0,2015-2019
ROGERS PARK,"Census Tract 8306, Cook County, Illinois",0.5006963511201306,17,31,50262.0,2015-2019
ROSELAND,"Census Tract 4903, Cook County, Illinois",0.5299525049793167,17,31,39162.0,2015-2019
SOUTH CHICAGO,"Census Tract 4601, Cook County, Illinois",0.5545831106360235,17,31,29936.0,2015-2019
SOUTH DEERING,"Census Tract 8388, Cook County, Illinois",0.5762197092084006,17,31,15475.0,2015-2019
SOUTH LAWNDALE,"Census Tract 8305, Cook County, Illinois",0.4262649500394972,17,31,72157.0,2015-2019
SOUTH SHORE,"Census Tract 4304, Cook County, Illinois",0.5696278063698068,17,31,40221.0,2015-2019
UPTOWN,"Census Tract 8307, Cook County, Illinois",0.48600349276861254,17,31,58979.0,2015-2019
WASHINGTON HEIGHTS,"Census Tract 7307, Cook County, Illinois",0.5576621045546332,17,31,26742.0,2015-2019
WASHINGTON PARK,"Census Tract 8345, Cook County, Illinois",0.5899352721305497,17,31,10969.0,2015-2019
WEST ELSDON,"Census Tract 6203, Cook County, Illinois",0.5136463452891352,17,31,19126.0,2015-2019
WEST ENGLEWOOD,"Census Tract 6702, Cook County, Illinois",0.538298033857132,17,31,26346.0,2015-2019
WEST GARFIELD PARK,"Census Tract 2605, Cook County, Illinois",0.5190983856229059,17,31,16415.0,2015-2019
WEST LAWN,"Census Tract 6501, Cook County, Illinois",0.48259424198707895,17,31,31886.0,2015-2019
WEST PULLMAN,"Census Tract 5303, Cook County, Illinois",0.5393665828030191,17,31,27028.0,2015-2019
WEST RIDGE,"Census Tract 203.02, Cook County, Illinois",0.5051869599571789,17,31,78466.0,2015-2019
WEST TOWN,"Census Tract 2423, Cook County, Illinois",0.4810941175065965,17,31,83757.0,2015-2019
WOODLAWN,"Census Tract 4205, Cook County, Illinois",0.5647641281597167,17,31,24844.0,2015-2019
ALBANY PARK,Census Tract 1401; Cook County; Illinois,0.49073704970312404,17,31,47663.0,2018-2022
ARCHER HEIGHTS,Census Tract 5701; Cook County; Illinois,0.4626811855484243,17,31,13867.0,2018-2022
ARMOUR SQUARE,Census Tract 3403; Cook County; Illinois,0.5408170999772607,17,31,13193.0,2018-2022
ASHBURN,Census Tract 7001; Cook County; Illinois,0.5129722774593519,17,31,42745.0,2018-2022
AUBURN GRESHAM,Census Tract 7101; Cook County; Illinois,0.5543169492984419,17,31,46468.0,2018-2022
AUSTIN,Census Tract 2502; Cook County; Illinois,0.5217139432680783,17,31,100120.0,2018-2022
AVALON PARK,Census Tract 4503; Cook County; Illinois,0.5758266818700114,17,31,9647.0,2018-2022
AVONDALE,Census Tract 2101; Cook County; Illinois,0.5108868972342883,17,31,36374.0,2018-2022
BELMONT CRAGIN,Census Tract 1901; Cook County; Illinois,0.5035206984633266,17,31,73991.0,2018-2022
BEVERLY,Census Tract 7201; Cook County; Illinois,0.5220666295940549,17,31,19781.0,2018-2022
BRIDGEPORT,Census Tract 6004; Cook County; Illinois,0.48363986634959816,17,31,33221.0,2018-2022
BRIGHTON PARK,Census Tract 5801; Cook County; Illinois,0.48744170631820655,17,31,42243.0,2018-2022
BURNSIDE,Census Tract 4701; Cook County; Illinois,0.5943900267141585,17,31,2246.0,2018-2022
CALUMET HEIGHTS,Census Tract 4801; Cook County; Illinois,0.6037891950028956,17,31,12087.0,2018-2022
CHATHAM,Census Tract 4401.01; Cook County; Illinois,0.5622985865160652,17,31,31341.0,2018-2022
CHICAGO LAWN,Census Tract 6603.01; Cook County; Illinois,0.5125419335163159,17,31,52464.0,2018-2022
CLEARING,Census Tract 6401; Cook County; Illinois,0.47884988676803625,17,31,24728.0,2018-2022
DOUGLAS,Census Tract 3501; Cook County; Illinois,0.537110746897682,17,31,21355.0,2018-2022
DUNNING,Census Tract 1701; Cook County; Illinois,0.5126133320806125,17,31,42574.0,2018-2022
EAST GARFIELD PARK,Census Tract 2705; Cook County; Illinois,0.5529872870710014,17,31,19901.0,2018-2022
EAST SIDE,Census Tract 5201; Cook County; Illinois,0.5057639294962827,17,31,23942.0,2018-2022
EDGEWATER,Census Tract 301.01; Cook County; Illinois,0.4892197316084904,17,31,53802.0,2018-2022
EDISON PARK,Census Tract 901; Cook County; Illinois,0.5207858270478863,17,31,11402.0,2018-2022
ENGLEWOOD,Census Tract 6805; Cook County; Illinois,0.5247918420806437,17,31,21378.0,2018-2022
FOREST GLEN,Census Tract 1201; Cook County; Illinois,0.5051624276001008,17,31,19855.0,2018-2022
FULLER PARK,Census Tract 8355; Cook County; Illinois,0.5252100840336135,17,31,2142.0,2018-2022
GAGE PARK,Census Tract 6303; Cook County; Illinois,0.5049442336437853,17,31,34788.0,2018-2022
GARFIELD RIDGE,Census Tract 5601; Cook County; Illinois,0.48886019614845744,17,31,36401.0,2018-2022
