Community Area,NAME,no_hs,hs,some_college,state,county,bachelors,graduate,population,period
WASHINGTON PARK,"Census Tract 4001, Cook County, Illinois",0.19158992747127374,0.20218401108304132,0.18254420992584142,17,31,0.05256295330453916,0.02461087115964469,12271.0,2005-2009
WEST ELSDON,"Census Tract 6201, Cook County, Illinois",0.2674119129815332,0.2140391254315305,0.13929530385226588,17,31,0.06192120116170749,0.018740752917968107,18249.0,2005-2009
WEST ENGLEWOOD,"Census Tract 6701, Cook County, Illinois",0.2181010654633939,0.24422972430248766,0.1971934134990196,17,31,0.030451936024947435,0.007607077889862742,42329.0,2005-2009
WEST GARFIELD PARK,"Census Tract 2604, Cook County, Illinois",0.19658430232558138,0.25846137873754155,0.17156353820598005,17,31,0.03135382059800664,0.014742524916943521,19264.0,2005-2009
WEST LAWN,"Census Tract 6501, Cook County, Illinois",0.2248574001801261,0.24548183728610026,0.14353047132993096,17,31,0.03611528069648754,0.013749624737316122,33310.0,2005-2009
WEST PULLMAN,"Census Tract 5301, Cook County, Illinois",0.159527028970914,0.2260709456543629,0.23642797548836272,17,31,0.04959866509393251,0.021548375960182973,34759.0,2005-2009
WEST RIDGE,"Census Tract 201, Cook County, Illinois",0.13604950288535075,0.16914412848501703,0.18866717652784537,17,31,0.1573246193422791,0.09103803100882987,71915.0,2005-2009
WEST TOWN,"Census Tract 2401, Cook County, Illinois",0.12080505824860457,0.12329480973666536,0.1587766635014012,17,31,0.2763160942168284,0.14939666952312575,86354.0,2005-2009
WOODLAWN,"Census Tract 4201, Cook County, Illinois",0.15997436992738145,0.19688167449807775,0.2205894916702264,17,31,0.09790687740281931,0.054762921828278514,23410.0,2005-2009
ALBANY PARK,"Census Tract 1406.01, Cook County, Illinois",0.17670508218401662,0.148535802002645,0.13846589835631967,17,31,0.11917627054600416,0.07379557906669186,52930.0,2010-2014
ARCHER HEIGHTS,"Census Tract 5704, Cook County, Illinois",0.195242177453922,0.21303043291898843,0.13644806400914417,17,31,0.044363480497213885,0.017216745249321333,13998.0,2010-2014
ARMOUR SQUARE,"Census Tract 3404, Cook County, Illinois",0.23718411552346572,0.21588447653429602,0.10245487364620938,17,31,0.09263537906137184,0.05545126353790614,13850.0,2010-2014
ASHBURN,"Census Tract 7004.01, Cook County, Illinois",0.10252516994090027,0.18318577869139666,0.2146511247634843,17,31,0.09124249573687776,0.03676796935223901,42809.0,2010-2014
AUBURN GRESHAM,"Census Tract 7107, Cook County, Illinois",0.11732582806494297,0.22364579613954758,0.22774148831152466,17,31,0.05431517926529583,0.03219844153661969,47611.0,2010-2014
AUSTIN,"Census Tract 2508, Cook County, Illinois",0.15081585782912618,0.21515178866925413,0.17792420094071867,17,31,0.047637672874607614,0.023949213226223787,99711.0,2010-2014
AVALON PARK,"Census Tract 8343, Cook County, Illinois",0.07565854624678155,0.1698356110120816,0.3143196672608437,17,31,0.11051693404634581,0.051396316102198455,10098.0,2010-2014
