community_area,NAME,0-17,18-24,25-34,35-44,45-54,55-64,65-74,75+,state,county,population,period
NORWOOD PARK,"Census Tract 1001, Cook County, Illinois",6984.0,2079.0,3765.0,5161.0,5669.0,5356.0,2840.0,4250.0,17,31,36486.0,2010-2014
OAKLAND,"Census Tract 3602, Cook County, Illinois",1019.0,490.0,473.0,418.0,357.0,225.0,204.0,20.0,17,31,3264.0,2010-2014
OHARE,"Census Tract 9800, Cook County, Illinois",2780.0,896.0,2883.0,2186.0,1791.0,1639.0,1045.0,626.0,17,31,14143.0,2010-2014
PORTAGE PARK,"Census Tract 1504.01, Cook County, Illinois",13012.0,6088.0,10094.0,9665.0,9187.0,8458.0,3907.0,3126.0,17,31,64427.0,2010-2014
PULLMAN,"Census Tract 5002, Cook County, Illinois",1335.0,532.0,1010.0,1093.0,959.0,864.0,673.0,429.0,17,31,6970.0,2010-2014
RIVERDALE,"Census Tract 5401.01, Cook County, Illinois",3089.0,876.0,905.0,898.0,506.0,478.0,179.0,163.0,17,31,7190.0,2010-2014
ROGERS PARK,"Census Tract 102.01, Cook County, Illinois",9105.0,5816.0,10365.0,8149.0,6974.0,4909.0,2355.0,1924.0,17,31,50323.0,2010-2014
ROSELAND,"Census Tract 4905, Cook County, Illinois",10619.0,4554.0,4740.0,4954.0,6296.0,5189.0,4105.0,3413.0,17,31,44267.0,2010-2014
SOUTH CHICAGO,"Census Tract 4602, Cook County, Illinois",7379.0,3251.0,3582.0,3288.0,4139.0,2806.0,2223.0,1496.0,17,31,28550.0,2010-2014
SOUTH DEERING,"Census Tract 5103, Cook County, Illinois",3894.0,1694.0,1752.0,1791.0,2272.0,1779.0,1405.0,839.0,17,31,15570.0,2010-2014
SOUTH LAWNDALE,"Census Tract 3007, Cook County, Illinois",19754.0,10459.0,12861.0,10604.0,8101.0,5434.0,2670.0,1928.0,17,31,72881.0,2010-2014
SOUTH SHORE,"Census Tract 4304, Cook County, Illinois",9607.0,4581.0,4642.0,5059.0,5637.0,4755.0,2558.0,2166.0,17,31,39552.0,2010-2014
UPTOWN,"Census Tract 317, Cook County, Illinois",5552.0,3873.0,14445.0,8887.0,7613.0,6639.0,3408.0,3088.0,17,31,54062.0,2010-2014
WASHINGTON HEIGHTS,"Census Tract 7303, Cook County, Illinois",4708.0,3202.0,2708.0,3012.0,3843.0,3422.0,2420.0,2960.0,17,31,26435.0,2010-2014
