NAME,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,state,county,tract
"Census Tract 8279.01, Cook County, Illinois",358.0,2056.0,0.0,22.0,0.0,5.0,15.0,17,031,827901
"Census Tract 811, Cook County, Illinois",2892.0,365.0,0.0,156.0,0.0,140.0,104.0,17,031,081100
"Census Tract 1103, Cook County, Illinois",4434.0,41.0,11.0,694.0,0.0,71.0,63.0,17,031,110300
"Census Tract 1902, Cook County, Illinois",2062.0,100.0,0.0,110.0,0.0,2976.0,446.0,17,031,190200
"Census Tract 2213, Cook County, Illinois",2148.0,153.0,55.0,45.0,0.0,261.0,100.0,17,031,221300
"Census Tract 2512, Cook County, Illinois",139.0,4078.0,99.0,0.0,0.0,43.0,16.0,17,031,251200
"Census Tract 2828, Cook County, Illinois",819.0,314.0,0.0,240.0,0.0,147.0,45.0,17,031,282800
"Census Tract 2606, Cook County, Illinois",85.0,2482.0,0.0,25.0,0.0,0.0,0.0,17,031,260600
"Census Tract 7107, Cook County, Illinois",11.0,2616.0,0.0,38.0,0.0,30.0,0.0,17,031,710700
"Census Tract 7109, Cook County, Illinois",8.0,2472.0,0.0,0.0,0.0,0.0,11.0,17,031,710900
"Census Tract 7114, Cook County, Illinois",2.0,2229.0,0.0,7.0,0.0,0.0,11.0,17,031,711400
"Census Tract 7203, Cook County, Illinois",2327.0,1222.0,0.0,33.0,0.0,67.0,23.0,17,031,720300
"Census Tract 7303, Cook County, Illinois",4.0,961.0,0.0,0.0,0.0,0.0,18.0,17,031,730300
"Census Tract 7401, Cook County, Illinois",2749.0,0.0,14.0,0.0,0.0,13.0,29.0,17,031,740100
"Census Tract 8288.02, Cook County, Illinois",2490.0,887.0,0.0,0.0,0.0,84.0,96.0,17,031,828802
"Census Tract 8289, Cook County, Illinois",1041.0,1458.0,21.0,0.0,0.0,892.0,82.0,17,031,828900
"Census Tract 8299.01, Cook County, Illinois",3064.0,5328.0,93.0,220.0,0.0,167.0,264.0,17,031,829901
"Census Tract 8299.02, Cook County, Illinois",818.0,5494.0,0.0,36.0,0.0,0.0,29.0,17,031,829902
"Census Tract 628, Cook County, Illinois",3367.0,148.0,0.0,163.0,0.0,40.0,74.0,17,031,062800
"Census Tract 634, Cook County, Illinois",1920.0,93.0,0.0,92.0,0.0,0.0,53.0,17,031,063400
"Census Tract 705, Cook County, Illinois",2727.0,109.0,34.0,53.0,0.0,67.0,32.0,17,031,070500
"Census Tract 716, Cook County, Illinois",1479.0,75.0,0.0,56.0,0.0,10.0,95.0,17,031,071600
"Census Tract 718, Cook County, Illinois",2219.0,319.0,0.0,65.0,0.0,11.0,56.0,17,031,071800
"Census Tract 801, Cook County, Illinois",5996.0,315.0,0.0,178.0,0.0,29.0,139.0,17,031,080100
"Census Tract 804, Cook County, Illinois",1786.0,2827.0,83.0,95.0,0.0,0.0,116.0,17,031,080400
"Census Tract 813, Cook County, Illinois",3969.0,213.0,0.0,807.0,0.0,13.0,51.0,17,031,081300
"Census Tract 3204, Cook County, Illinois",1647.0,387.0,0.0,351.0,12.0,41.0,85.0,17,031,320400
"Census Tract 205, Cook County, Illinois",2614.0,1255.0,0.0,1191.0,6.0,586.0,352.0,17,031,020500
"Census Tract 318, Cook County, Illinois",1482.0,21.0,18.0,179.0,0.0,10.0,7.0,17,031,031800
"Census Tract 321, Cook County, Illinois",5172.0,778.0,0.0,522.0,0.0,212.0,83.0,17,031,032100
"Census Tract 401, Cook County, Illinois",3188.0,233.0,83.0,288.0,0.0,140.0,66.0,17,031,040100
"Census Tract 503, Cook County, Illinois",2226.0,18.0,26.0,189.0,0.0,0.0,107.0,17,031,050300
