NAME,B03001_002E,B03001_003E,state,county,tract
"Census Tract 5804, Cook County, Illinois",913.0,3138.0,17,031,580400
"Census Tract 5907, Cook County, Illinois",1011.0,2223.0,17,031,590700
"Census Tract 6104, Cook County, Illinois",89.0,1808.0,17,031,610400
"Census Tract 6108, Cook County, Illinois",1294.0,255.0,17,031,610800
"Census Tract 6120, Cook County, Illinois",1432.0,154.0,17,031,612000
"Census Tract 6121, Cook County, Illinois",1039.0,29.0,17,031,612100
"Census Tract 6405, Cook County, Illinois",2008.0,1175.0,17,031,640500
"Census Tract 8009, Cook County, Illinois",4119.0,464.0,17,031,800900
"Census Tract 314, Cook County, Illinois",4748.0,512.0,17,031,031400
"Census Tract 406, Cook County, Illinois",2314.0,370.0,17,031,040600
"Census Tract 8176, Cook County, Illinois",3491.0,383.0,17,031,817600
"Census Tract 8184.02, Cook County, Illinois",2439.0,646.0,17,031,818402
"Census Tract 8024.04, Cook County, Illinois",4689.0,2696.0,17,031,802404
"Census Tract 8079, Cook County, Illinois",3564.0,510.0,17,031,807900
"Census Tract 8024.03, Cook County, Illinois",1404.0,53.0,17,031,802403
"Census Tract 8025.05, Cook County, Illinois",3346.0,3542.0,17,031,802505
"Census Tract 8025.06, Cook County, Illinois",1179.0,1725.0,17,031,802506
"Census Tract 8026.07, Cook County, Illinois",1298.0,31.0,17,031,802607
"Census Tract 8026.08, Cook County, Illinois",6203.0,262.0,17,031,802608
"Census Tract 8026.09, Cook County, Illinois",3360.0,3117.0,17,031,802609
"Census Tract 8026.10, Cook County, Illinois",1525.0,89.0,17,031,802610
"Census Tract 8030.12, Cook County, Illinois",2076.0,243.0,17,031,803012
"Census Tract 8030.13, Cook County, Illinois",5108.0,161.0,17,031,803013
"Census Tract 8030.14, Cook County, Illinois",2722.0,574.0,17,031,803014
"Census Tract 8030.15, Cook County, Illinois",4186.0,349.0,17,031,803015
"Census Tract 8030.16, Cook County, Illinois",2216.0,145.0,17,031,803016
"Census Tract 8030.17, Cook County, Illinois",5188.0,316.0,17,031,803017
"Census Tract 8036.11, Cook County, Illinois",3351.0,2530.0,17,031,803611
"Census Tract 8036.12, Cook County, Illinois",1908.0,1698.0,17,031,803612
"Census Tract 8037.01, Cook County, Illinois",2476.0,182.0,17,031,803701
"Census Tract 8382, Cook County, Illinois",1515.0,351.0,17,031,838200
"Census Tract 8383, Cook County, Illinois",1276.0,230.0,17,031,838300
"Census Tract 8386, Cook County, Illinois",1383.0,21.0,17,031,838600
