NAME,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,state,county,tract
"Census Tract 811, Cook County, Illinois",392.0,259.0,82.0,87.0,88.0,172.0,34.0,51.0,66.0,125.0,210.0,187.0,300.0,206.0,150.0,236.0,17,031,081100
"Census Tract 1103, Cook County, Illinois",69.0,102.0,128.0,52.0,30.0,96.0,70.0,89.0,9.0,105.0,190.0,254.0,161.0,235.0,227.0,70.0,17,031,110300
"Census Tract 1902, Cook County, Illinois",74.0,59.0,128.0,128.0,73.0,113.0,67.0,90.0,83.0,251.0,150.0,89.0,98.0,104.0,34.0,19.0,17,031,190200
"Census Tract 2213, Cook County, Illinois",113.0,68.0,25.0,176.0,87.0,57.0,15.0,56.0,37.0,72.0,137.0,141.0,123.0,48.0,34.0,47.0,17,031,221300
"Census Tract 2512, Cook County, Illinois",114.0,92.0,65.0,107.0,60.0,66.0,34.0,92.0,39.0,115.0,90.0,62.0,95.0,57.0,21.0,14.0,17,031,251200
"Census Tract 2828, Cook County, Illinois",45.0,5.0,20.0,30.0,6.0,46.0,79.0,16.0,27.0,43.0,110.0,80.0,67.0,33.0,65.0,22.0,17,031,282800
"Census Tract 2606, Cook County, Illinois",125.0,87.0,69.0,27.0,41.0,28.0,0.0,26.0,20.0,64.0,46.0,104.0,0.0,5.0,0.0,0.0,17,031,260600
"Census Tract 7107, Cook County, Illinois",181.0,212.0,95.0,86.0,151.0,28.0,66.0,28.0,5.0,111.0,32.0,81.0,44.0,79.0,27.0,5.0,17,031,710700
"Census Tract 7109, Cook County, Illinois",256.0,71.0,74.0,99.0,37.0,15.0,47.0,39.0,15.0,13.0,34.0,9.0,27.0,22.0,33.0,22.0,17,031,710900
"Census Tract 7114, Cook County, Illinois",183.0,22.0,83.0,68.0,60.0,49.0,70.0,21.0,32.0,100.0,41.0,55.0,4.0,10.0,8.0,0.0,17,031,711400
"Census Tract 7203, Cook County, Illinois",6.0,7.0,29.0,36.0,19.0,15.0,35.0,51.0,5.0,38.0,69.0,211.0,169.0,115.0,228.0,185.0,17,031,720300
"Census Tract 7303, Cook County, Illinois",29.0,58.0,26.0,4.0,28.0,15.0,24.0,27.0,4.0,22.0,52.0,40.0,13.0,27.0,9.0,0.0,17,031,730300
"Census Tract 7401, Cook County, Illinois",57.0,32.0,62.0,28.0,69.0,16.0,19.0,0.0,15.0,31.0,94.0,228.0,145.0,92.0,212.0,15.0,17,031,740100
"Census Tract 8288.02, Cook County, Illinois",97.0,65.0,38.0,26.0,83.0,8.0,68.0,46.0,0.0,84.0,216.0,180.0,193.0,79.0,63.0,11.0,17,031,828802
"Census Tract 8289, Cook County, Illinois",316.0,89.0,63.0,77.0,73.0,63.0,106.0,41.0,138.0,87.0,88.0,51.0,22.0,32.0,27.0,20.0,17,031,828900
"Census Tract 8299.01, Cook County, Illinois",219.0,38.0,153.0,191.0,145.0,220.0,154.0,92.0,117.0,300.0,638.0,369.0,464.0,233.0,155.0,127.0,17,031,829901
"Census Tract 8299.02, Cook County, Illinois",119.0,54.0,71.0,67.0,30.0,82.0,44.0,120.0,109.0,204.0,367.0,356.0,267.0,182.0,149.0,183.0,17,031,829902
"Census Tract 628, Cook County, Illinois",96.0,14.0,61.0,28.0,23.0,9.0,23.0,61.0,17.0,57.0,92.0,203.0,149.0,182.0,153.0,404.0,17,031,062800
"Census Tract 634, Cook County, Illinois",161.0,22.0,6.0,48.0,28.0,29.0,14.0,96.0,0.0,113.0,65.0,262.0,101.0,47.0,82.0,149.0,17,031,063400
