NAME,B03001_002E,B03001_003E,state,county,tract
"Census Tract 2425, Cook County, Illinois",2297.0,1180.0,17,031,242500
"Census Tract 2426, Cook County, Illinois",3417.0,1876.0,17,031,242600
"Census Tract 2427, Cook County, Illinois",991.0,691.0,17,031,242700
"Census Tract 2431, Cook County, Illinois",1640.0,634.0,17,031,243100
"Census Tract 2433, Cook County, Illinois",1880.0,577.0,17,031,243300
"Census Tract 2503, Cook County, Illinois",3312.0,1810.0,17,031,250300
"Census Tract 2515, Cook County, Illinois",3949.0,393.0,17,031,251500
"Census Tract 2519, Cook County, Illinois",4459.0,194.0,17,031,251900
"Census Tract 8211.01, Cook County, Illinois",3285.0,1450.0,17,031,821101
"Census Tract 8202.02, Cook County, Illinois",2052.0,1085.0,17,031,820202
"Census Tract 8203, Cook County, Illinois",1653.0,3964.0,17,031,820300
"Census Tract 8211.02, Cook County, Illinois",2890.0,1504.0,17,031,821102
"Census Tract 8213, Cook County, Illinois",2692.0,2778.0,17,031,821300
"Census Tract 2605, Cook County, Illinois",1516.0,22.0,17,031,260500
"Census Tract 8051.07, Cook County, Illinois",3953.0,2293.0,17,031,805107
"Census Tract 6903, Cook County, Illinois",2438.0,5.0,17,031,690300
"Census Tract 6915, Cook County, Illinois",1918.0,50.0,17,031,691500
"Census Tract 7101, Cook County, Illinois",1201.0,49.0,17,031,710100
"Census Tract 7201, Cook County, Illinois",3259.0,122.0,17,031,720100
"Census Tract 7202, Cook County, Illinois",3677.0,114.0,17,031,720200
"Census Tract 7204, Cook County, Illinois",1870.0,65.0,17,031,720400
"Census Tract 7207, Cook County, Illinois",3002.0,76.0,17,031,720700
"Census Tract 1404, Cook County, Illinois",3747.0,2231.0,17,031,140400
"Census Tract 1408, Cook County, Illinois",4058.0,2315.0,17,031,140800
"Census Tract 1502, Cook County, Illinois",5019.0,2734.0,17,031,150200
"Census Tract 1607, Cook County, Illinois",3396.0,2415.0,17,031,160700
"Census Tract 1610, Cook County, Illinois",1491.0,680.0,17,031,161000
"Census Tract 1703, Cook County, Illinois",3431.0,1907.0,17,031,170300
"Census Tract 1705, Cook County, Illinois",4345.0,1174.0,17,031,170500
"Census Tract 1710, Cook County, Illinois",4980.0,1897.0,17,031,171000
"Census Tract 8126, Cook County, Illinois",3009.0,282.0,17,031,812600
"Census Tract 8130, Cook County, Illinois",3504.0,547.0,17,031,813000
"Census Tract 8142, Cook County, Illinois",763.0,6269.0,17,031,814200
"Census Tract 8117.01, Cook County, Illinois",994.0,2876.0,17,031,811701
"Census Tract 8162, Cook County, Illinois",2199.0,2020.0,17,031,816200
"Census Tract 8139, Cook County, Illinois",918.0,5575.0,17,031,813900
"Census Tract 8146, Cook County, Illinois",2038.0,3684.0,17,031,814600
"Census Tract 8152, Cook County, Illinois",1777.0,4941.0,17,031,815200
"Census Tract 5501, Cook County, Illinois",2579.0,3886.0,17,031,550100
"Census Tract 5602, Cook County, Illinois",1263.0,381.0,17,031,560200
"Census Tract 5604, Cook County, Illinois",520.0,1287.0,17,031,560400
"Census Tract 1508, Cook County, Illinois",2460.0,2354.0,17,031,150800
"Census Tract 1511, Cook County, Illinois",2042.0,3293.0,17,031,151100
"Census Tract 1601, Cook County, Illinois",1867.0,670.0,17,031,160100
"Census Tract 1604, Cook County, Illinois",2963.0,1771.0,17,031,160400
"Census Tract 1711, Cook County, Illinois",2274.0,1739.0,17,031,171100
"Census Tract 1903, Cook County, Illinois",2071.0,3447.0,17,031,190300
"Census Tract 8036.08, Cook County, Illinois",5949.0,1192.0,17,031,803608
"Census Tract 8040, Cook County, Illinois",3720.0,825.0,17,031,804000
"Census Tract 8043.06, Cook County, Illinois",2927.0,2844.0,17,031,804306
"Census Tract 8046.03, Cook County, Illinois",4646.0,1491.0,17,031,804603
"Census Tract 8047.12, Cook County, Illinois",4645.0,580.0,17,031,804712
"Census Tract 8048.06, Cook County, Illinois",2627.0,1303.0,17,031,804806
"Census Tract 8048.07, Cook County, Illinois",4299.0,1098.0,17,031,804807
"Census Tract 8048.09, Cook County, Illinois",4146.0,19.0,17,031,804809
"Census Tract 8198.01, Cook County, Illinois",5238.0,305.0,17,031,819801
"Census Tract 8205.02, Cook County, Illinois",4113.0,1169.0,17,031,820502
"Census Tract 8209.01, Cook County, Illinois",3486.0,1966.0,17,031,820901
"Census Tract 8220, Cook County, Illinois",3152.0,1120.0,17,031,822000
"Census Tract 8226.01, Cook County, Illinois",3665.0,1066.0,17,031,822601
"Census Tract 8227.02, Cook County, Illinois",2948.0,726.0,17,031,822702
"Census Tract 8244, Cook County, Illinois",1710.0,258.0,17,031,824400
"Census Tract 8246.02, Cook County, Illinois",5450.0,1040.0,17,031,824602
"Census Tract 8258.02, Cook County, Illinois",5948.0,574.0,17,031,825802
"Census Tract 8276, Cook County, Illinois",3460.0,19.0,17,031,827600
"Census Tract 8278.05, Cook County, Illinois",2826.0,108.0,17,031,827805
"Census Tract 8282.01, Cook County, Illinois",3577.0,590.0,17,031,828201
"Census Tract 8096, Cook County, Illinois",2347.0,763.0,17,031,809600
"Census Tract 8104, Cook County, Illinois",5363.0,118.0,17,031,810400
"Census Tract 8043.11, Cook County, Illinois",6426.0,1785.0,17,031,804311
"Census Tract 8044.03, Cook County, Illinois",4178.0,2518.0,17,031,804403
"Census Tract 8044.04, Cook County, Illinois",2006.0,3828.0,17,031,804404
"Census Tract 8044.05, Cook County, Illinois",1512.0,1995.0,17,031,804405
"Census Tract 8059.02, Cook County, Illinois",5797.0,342.0,17,031,805902
"Census Tract 8061.02, Cook County, Illinois",3012.0,727.0,17,031,806102
"Census Tract 8069, Cook County, Illinois",4515.0,541.0,17,031,806900
"Census Tract 8084, Cook County, Illinois",4023.0,266.0,17,031,808400
"Census Tract 8272, Cook County, Illinois",3087.0,1082.0,17,031,827200
"Census Tract 8278.02, Cook County, Illinois",3388.0,238.0,17,031,827802
"Census Tract 8285.04, Cook County, Illinois",5521.0,822.0,17,031,828504
"Census Tract 8288.01, Cook County, Illinois",4953.0,657.0,17,031,828801
"Census Tract 8292, Cook County, Illinois",2862.0,2679.0,17,031,829200
"Census Tract 8293.01, Cook County, Illinois",3420.0,707.0,17,031,829301
"Census Tract 3404, Cook County, Illinois",1885.0,64.0,17,031,340400
"Census Tract 3602, Cook County, Illinois",1399.0,78.0,17,031,360200
"Census Tract 1908, Cook County, Illinois",990.0,5961.0,17,031,190800
"Census Tract 1912, Cook County, Illinois",204.0,3849.0,17,031,191200
"Census Tract 2101, Cook County, Illinois",2345.0,1757.0,17,031,210100
"Census Tract 2204, Cook County, Illinois",2350.0,397.0,17,031,220400
"Census Tract 2408, Cook County, Illinois",800.0,570.0,17,031,240800
"Census Tract 2430, Cook County, Illinois",1636.0,546.0,17,031,243000
"Census Tract 2508, Cook County, Illinois",2378.0,243.0,17,031,250800
"Census Tract 2517, Cook County, Illinois",976.0,206.0,17,031,251700
"Census Tract 8184.01, Cook County, Illinois",2545.0,876.0,17,031,818401
"Census Tract 8165, Cook County, Illinois",768.0,3441.0,17,031,816500
"Census Tract 4206, Cook County, Illinois",1825.0,69.0,17,031,420600
"Census Tract 4408, Cook County, Illinois",1777.0,43.0,17,031,440800
"Census Tract 4602, Cook County, Illinois",1202.0,1266.0,17,031,460200
"Census Tract 4804, Cook County, Illinois",5387.0,59.0,17,031,480400
"Census Tract 5202, Cook County, Illinois",704.0,2474.0,17,031,520200
