NAME,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,state,county,tract
"Census Tract 8271, Cook County, Illinois",199.0,752.0,515.0,165.0,29.0,17,031,827100
"Census Tract 8280, Cook County, Illinois",368.0,994.0,1161.0,462.0,188.0,17,031,828000
"Census Tract 8282.02, Cook County, Illinois",174.0,932.0,1327.0,565.0,216.0,17,031,828202
"Census Tract 8293.02, Cook County, Illinois",533.0,708.0,789.0,139.0,142.0,17,031,829302
"Census Tract 8044.06, Cook County, Illinois",800.0,1130.0,1291.0,508.0,360.0,17,031,804406
"Census Tract 8045.06, Cook County, Illinois",246.0,709.0,1009.0,1134.0,653.0,17,031,804506
"Census Tract 8045.07, Cook County, Illinois",529.0,1563.0,2611.0,2608.0,1229.0,17,031,804507
"Census Tract 8045.08, Cook County, Illinois",285.0,478.0,325.0,242.0,154.0,17,031,804508
"Census Tract 8045.09, Cook County, Illinois",866.0,881.0,1208.0,595.0,331.0,17,031,804509
"Census Tract 8045.10, Cook County, Illinois",1214.0,1257.0,706.0,316.0,49.0,17,031,804510
"Census Tract 8045.11, Cook County, Illinois",345.0,372.0,341.0,227.0,130.0,17,031,804511
"Census Tract 8046.08, Cook County, Illinois",144.0,453.0,646.0,803.0,476.0,17,031,804608
"Census Tract 8046.09, Cook County, Illinois",153.0,652.0,829.0,1308.0,1253.0,17,031,804609
"Census Tract 8046.10, Cook County, Illinois",36.0,396.0,581.0,603.0,237.0,17,031,804610
"Census Tract 8046.11, Cook County, Illinois",66.0,703.0,880.0,920.0,643.0,17,031,804611
"Census Tract 8047.13, Cook County, Illinois",378.0,415.0,919.0,1253.0,935.0,17,031,804713
"Census Tract 8047.14, Cook County, Illinois",93.0,414.0,863.0,749.0,226.0,17,031,804714
"Census Tract 8047.15, Cook County, Illinois",542.0,441.0,397.0,374.0,202.0,17,031,804715
"Census Tract 8047.16, Cook County, Illinois",215.0,575.0,915.0,881.0,660.0,17,031,804716
"Census Tract 8061.03, Cook County, Illinois",275.0,628.0,1030.0,1134.0,555.0,17,031,806103
"Census Tract 8061.04, Cook County, Illinois",501.0,906.0,638.0,979.0,259.0,17,031,806104
"Census Tract 8062.01, Cook County, Illinois",441.0,734.0,812.0,875.0,776.0,17,031,806201
"Census Tract 8062.02, Cook County, Illinois",235.0,824.0,1068.0,1118.0,786.0,17,031,806202
"Census Tract 8123.01, Cook County, Illinois",156.0,93.0,456.0,1342.0,1318.0,17,031,812301
"Census Tract 8123.02, Cook County, Illinois",87.0,216.0,366.0,556.0,687.0,17,031,812302
"Census Tract 8128.01, Cook County, Illinois",116.0,399.0,510.0,716.0,947.0,17,031,812801
"Census Tract 8128.02, Cook County, Illinois",100.0,136.0,401.0,641.0,763.0,17,031,812802
"Census Tract 8133.01, Cook County, Illinois",512.0,440.0,448.0,141.0,12.0,17,031,813301
"Census Tract 8133.02, Cook County, Illinois",561.0,719.0,340.0,112.0,32.0,17,031,813302
"Census Tract 8137.01, Cook County, Illinois",929.0,667.0,463.0,136.0,14.0,17,031,813701
"Census Tract 8137.02, Cook County, Illinois",909.0,693.0,496.0,155.0,19.0,17,031,813702
"Census Tract 8138.01, Cook County, Illinois",596.0,698.0,254.0,86.0,8.0,17,031,813801
"Census Tract 8138.02, Cook County, Illinois",842.0,1181.0,545.0,107.0,44.0,17,031,813802
"Census Tract 8206.03, Cook County, Illinois",781.0,1478.0,964.0,398.0,173.0,17,031,820603
"Census Tract 8206.04, Cook County, Illinois",507.0,1072.0,678.0,144.0,54.0,17,031,820604
